"time","timeDate","close","high","low","open","volumefrom","volumeto"
1490918400000,"2017-03-30",0.356,0.3712,0.33,0.3465,1311.66,460.1
1491004800000,"2017-03-31",0.3476,0.361,0.3301,0.356,18421.3,6477.88
1491091200000,"2017-04-01",0.3357,0.3764,0.3187,0.3476,42093.7,14731.08
1491177600000,"2017-04-02",0.3,0.339,0.298,0.3357,34045.79,10796.16
1491264000000,"2017-04-03",0.2938,0.3086,0.2638,0.3,49889.31,14033.22
1491350400000,"2017-04-04",0.3183,0.3288,0.2783,0.2938,17738.12,5494.78
1491436800000,"2017-04-05",0.3308,0.3604,0.3183,0.3183,6987.4,2431.51
1491523200000,"2017-04-06",0.2971,0.346,0.2967,0.3308,28322.62,9160.29
1491609600000,"2017-04-07",0.3278,0.3406,0.293,0.2971,18973.82,5850.93
1491696000000,"2017-04-08",0.2837,0.3294,0.2837,0.3278,3927.19,1232.38
1491782400000,"2017-04-09",0.2879,0.313,0.2724,0.2837,13715.73,4044.61
1491868800000,"2017-04-10",0.2919,0.3242,0.2858,0.2879,29386.73,8838.34
1491955200000,"2017-04-11",0.3196,0.3624,0.2919,0.2919,13701.52,4437.22
1492041600000,"2017-04-12",0.3383,0.3435,0.3174,0.3196,7515.19,2493.74
1492128000000,"2017-04-13",0.3346,0.3428,0.2822,0.3383,31181.44,10085.51
1492214400000,"2017-04-14",0.3312,0.337,0.3069,0.3346,13313.39,4392.82
1492300800000,"2017-04-15",0.3339,0.344,0.33,0.3312,2543.9,858.7
1492387200000,"2017-04-16",0.3122,0.3339,0.3071,0.3339,17742.47,5607.41
1492473600000,"2017-04-17",0.3068,0.3315,0.2764,0.3122,31554.99,9405.47
1492560000000,"2017-04-18",0.3143,0.3201,0.2977,0.3068,16405.42,5096.73
1492646400000,"2017-04-19",0.3286,0.3363,0.2959,0.3143,5273.73,1703.38
1492732800000,"2017-04-20",0.32,0.3446,0.315,0.3286,42612.96,14147.21
1492819200000,"2017-04-21",0.2861,0.325,0.2642,0.32,37548.02,11697.2
1492905600000,"2017-04-22",0.307,0.3082,0.2848,0.2861,28980.73,8632.06
1492992000000,"2017-04-23",0.292,0.3103,0.2805,0.307,16007.65,4695.72
1493078400000,"2017-04-24",0.3211,0.3402,0.2908,0.292,19689.66,6112.9
1493164800000,"2017-04-25",0.3062,0.3259,0.2979,0.3211,19672.83,6186.2
1493251200000,"2017-04-26",0.3475,0.3823,0.3014,0.3062,20572.92,6871.22
1493337600000,"2017-04-27",0.3392,0.3686,0.3352,0.3475,20844.65,7319.27
1493424000000,"2017-04-28",0.3606,0.3692,0.3275,0.3392,21174.81,7282.19
1493510400000,"2017-04-29",0.3698,0.4064,0.3569,0.3606,26081.56,9932.23
1493596800000,"2017-04-30",0.3815,0.4099,0.3357,0.3698,37568.64,13891.61
1493683200000,"2017-05-01",0.3522,0.4066,0.3123,0.3815,73061.1,25986.17
1493769600000,"2017-05-02",0.3757,0.3959,0.3507,0.3522,89809.51,33864.76
1493856000000,"2017-05-03",0.3818,0.4138,0.3651,0.3757,77278.73,29991.13
1493942400000,"2017-05-04",0.4153,0.465,0.3614,0.3818,67804.42,28663.81
1494028800000,"2017-05-05",0.4261,0.4581,0.4112,0.4153,70079.46,30286.8
1494115200000,"2017-05-06",0.4357,0.4708,0.4223,0.4261,68352.56,30702.36
1494201600000,"2017-05-07",0.4484,0.465,0.4183,0.4357,71456.01,31417.97
1494288000000,"2017-05-08",0.3836,0.4587,0.375,0.4484,72110.28,29647.45
