"time","timeDate","close","high","low","open","volumefrom","volumeto"
1498867200000,"2017-06-30",0.2103,0.699,0.175,0.699,87538.51,18543.3
1498953600000,"2017-07-01",0.2287,0.2334,0.2021,0.2103,180635.32,39072.13
1499040000000,"2017-07-02",0.2384,0.2411,0.2095,0.2287,153331.99,34673.97
1499126400000,"2017-07-03",0.2541,0.2573,0.2342,0.2384,155949.5,38263.58
1499212800000,"2017-07-04",0.2947,0.3116,0.2518,0.2541,165193.01,46488.52
1499299200000,"2017-07-05",0.3,0.3213,0.2935,0.2947,60090.96,18652.99
1499385600000,"2017-07-06",0.221,0.3,0.219,0.3,116172.53,28804.81
1499472000000,"2017-07-07",0.2161,0.2268,0.197,0.221,177287.98,37157.27
1499558400000,"2017-07-08",0.2117,0.2314,0.2084,0.2161,168911.95,36827.38
1499644800000,"2017-07-09",0.1484,0.2127,0.142,0.2117,242105.45,40984.3
1499731200000,"2017-07-10",0.1899,0.1899,0.1344,0.1484,203689.96,30132.76
1499817600000,"2017-07-11",0.2627,0.286,0.1787,0.1899,146595.31,31012.28
1499904000000,"2017-07-12",0.1983,0.2627,0.1856,0.2627,165365.33,35700.79
1499990400000,"2017-07-13",0.1543,0.1997,0.1464,0.1983,213774.32,37052.64
1500076800000,"2017-07-14",0.124,0.1594,0.122,0.1543,185458.3,24973.7
1500163200000,"2017-07-15",0.1137,0.1247,0.09765,0.124,264699.78,29653.34
1500249600000,"2017-07-16",0.1261,0.1262,0.107,0.1137,264613.4,31166.33
1500336000000,"2017-07-17",0.1404,0.143,0.1242,0.1261,244257.96,31996.91
1500422400000,"2017-07-18",0.113,0.1445,0.1095,0.1404,246507.11,32155.77
1500508800000,"2017-07-19",0.1284,0.1392,0.113,0.113,248176.92,32047.08
1500595200000,"2017-07-20",0.1283,0.1363,0.1261,0.1284,278929.51,36466.83
1500681600000,"2017-07-21",0.1432,0.1432,0.1283,0.1283,246023.36,32820.9
1500768000000,"2017-07-22",0.1539,0.1557,0.1419,0.1432,250677.33,37458.23
1500854400000,"2017-07-23",0.1487,0.1546,0.1423,0.1539,223539.99,32921.69
1500940800000,"2017-07-24",0.1317,0.1503,0.1272,0.1487,259399.57,35249.24
1501027200000,"2017-07-25",0.1293,0.1375,0.1254,0.1317,259585.23,33824.76
1501113600000,"2017-07-26",0.122,0.1303,0.1202,0.1293,232683.55,29188.26
1501200000000,"2017-07-27",0.1289,0.1312,0.1168,0.122,268099.07,33157.54
1501286400000,"2017-07-28",0.1397,0.1402,0.1262,0.1289,233994.74,30983.62
1501372800000,"2017-07-29",0.1275,0.1413,0.127,0.1397,206865.99,27688.56
1501459200000,"2017-07-30",0.1252,0.1275,0.1167,0.1275,255128.02,31362.35
1501545600000,"2017-07-31",0.1299,0.1385,0.1211,0.1252,238601.64,30665.38
1501632000000,"2017-08-01",0.1243,0.1315,0.1243,0.1299,279911.75,35917.14
1501718400000,"2017-08-02",0.1347,0.1372,0.1215,0.1243,263130.37,33988.78
1501804800000,"2017-08-03",0.1431,0.1435,0.1341,0.1347,279808.51,38844.94
1501891200000,"2017-08-04",0.1433,0.1614,0.1427,0.1431,248990.51,38699.72
1501977600000,"2017-08-05",0.1499,0.1532,0.1382,0.1433,287494.36,41535.96
1502064000000,"2017-08-06",0.1443,0.1542,0.1432,0.1499,242538.25,35891.51
1502150400000,"2017-08-07",0.1498,0.1515,0.1433,0.1443,252025.44,37142.32
1502236800000,"2017-08-08",0.1454,0.1538,0.1438,0.1498,270952.61,40476.6
1502323200000,"2017-08-09",0.1861,0.1882,0.1434,0.1454,259703.57,40837.77
1502409600000,"2017-08-10",0.6629,4,0.1813,0.1861,249398.73,96730.18
1502496000000,"2017-08-11",0.4614,0.699,0.4099,0.6629,178171.57,88403.65
1502582400000,"2017-08-12",0.4139,0.4788,0.3525,0.4614,162117.62,66349.02
1502668800000,"2017-08-13",0.3472,0.4918,0.3472,0.4139,166380.05,66912.92
1502755200000,"2017-08-14",0.8318,0.95,0.3295,0.3472,197943.36,95606.74
1502841600000,"2017-08-15",1.32,1.33,0.6337,0.8318,122456.37,100421.96
1502928000000,"2017-08-16",2.15,2.51,1.24,1.32,86083.53,147817.82
1503014400000,"2017-08-17",1.45,2.17,1.06,2.15,79459.8,118225.02
1503100800000,"2017-08-18",1.63,1.67,1.12,1.45,57310.4,76135.51
1503187200000,"2017-08-19",1.42,1.67,1.33,1.63,39138.45,59167.45
1503273600000,"2017-08-20",1.2,1.43,1.16,1.42,51978.25,65985.24
1503360000000,"2017-08-21",1.07,1.21,0.9884,1.2,45719.9,49335.37
1503446400000,"2017-08-22",1.05,1.16,1.03,1.07,39220.58,43455.49
1503532800000,"2017-08-23",1.19,1.33,1.05,1.05,54230.74,63919.54
1503619200000,"2017-08-24",1.14,1.23,1,1.19,54775.67,63616.5
1503705600000,"2017-08-25",1.16,1.17,1.13,1.14,3777.16,4347.06
1503792000000,"2017-08-26",1.39,1.59,1.16,1.16,45569.11,66290.77
1503878400000,"2017-08-27",1.38,1.46,1.31,1.39,59837.6,82463.55
1503964800000,"2017-08-28",1.24,1.39,1.11,1.38,78277.49,99271.35
1504051200000,"2017-08-29",1.19,1.26,1.08,1.24,90260.97,106002.89
1504137600000,"2017-08-30",1.09,1.19,1.01,1.19,95734.55,106077.86
1504224000000,"2017-08-31",1.03,1.09,1,1.09,82890.98,87123.59
1504310400000,"2017-09-01",0.8629,1.04,0.8323,1.03,107512.08,97532.08
1504396800000,"2017-09-02",0.8544,0.9922,0.8323,0.8629,91677.2,81239.3
1504483200000,"2017-09-03",0.6708,0.8544,0.5729,0.8544,84031.08,57707.23
1504569600000,"2017-09-04",0.793,0.8162,0.5815,0.6708,62228.68,42379.89
1504656000000,"2017-09-05",1.12,1.13,0.7899,0.793,58577.75,55221.06
1504742400000,"2017-09-06",0.9655,1.12,0.9511,1.12,39725.52,40438.65
1504828800000,"2017-09-07",0.8279,1.18,0.77,0.9655,43955.72,38813.43
1504915200000,"2017-09-08",0.8578,0.9104,0.7899,0.8279,35349.55,29580.87
1505001600000,"2017-09-09",0.7782,0.8624,0.6731,0.8578,38073.88,29100.41
1505088000000,"2017-09-10",0.7193,0.8048,0.7187,0.7782,45772.53,34269.11
1505174400000,"2017-09-11",0.661,0.7577,0.6321,0.7193,101759.75,72343.86
1505260800000,"2017-09-12",0.6326,0.663,0.5602,0.661,106517.18,64616.31
1505347200000,"2017-09-13",0.5076,0.7162,0.5076,0.6326,98486.08,57925.7
1505433600000,"2017-09-14",0.625,0.6456,0.3934,0.5076,120403.56,63546.26
1505520000000,"2017-09-15",0.5874,0.6483,0.5437,0.625,73905.88,44207.02
1505606400000,"2017-09-16",0.5758,0.5902,0.5346,0.5874,57638.05,32372.25
1505692800000,"2017-09-17",0.6671,0.683,0.5741,0.5758,64876.04,40396.7
1505779200000,"2017-09-18",0.5802,0.6671,0.5771,0.6671,55980.51,34253.22
1505865600000,"2017-09-19",0.5754,0.5987,0.5513,0.5802,87630.17,49998.5
1505952000000,"2017-09-20",0.4791,0.5754,0.4668,0.5754,99509.78,51946.72
1506038400000,"2017-09-21",0.5005,0.5313,0.4546,0.4791,113025.62,54543.35
