"time","timeDate","close","high","low","open","volumefrom","volumeto"
1496275200000,"2017-05-31",0.1578,0.177,0.1408,0.1696,349701.38,55057.36
1496361600000,"2017-06-01",0.1487,0.1633,0.1415,0.1578,274085.83,42192.42
1496448000000,"2017-06-02",0.1595,0.1638,0.1438,0.1487,334278.71,51874.13
1496534400000,"2017-06-03",0.2752,0.452,0.1576,0.1595,384900.35,96751.81
1496620800000,"2017-06-04",0.279,0.3197,0.2633,0.2752,225471.31,64463.74
1496707200000,"2017-06-05",0.2474,0.3001,0.2428,0.279,250886.68,67195.71
1496793600000,"2017-06-06",0.235,0.2762,0.2227,0.2474,343291.94,84720.09
1496880000000,"2017-06-07",0.2092,0.2442,0.2019,0.235,232970.92,52103.8
1496966400000,"2017-06-08",0.2101,0.2336,0.2062,0.2092,194984.43,43317.1
1497052800000,"2017-06-09",0.1786,0.2242,0.1758,0.2101,375553.66,76889.83
1497139200000,"2017-06-10",0.1753,0.199,0.1718,0.1786,276587.27,50434.24
1497225600000,"2017-06-11",0.1619,0.2079,0.1435,0.1753,365526.04,62514.66
1497312000000,"2017-06-12",0.1879,0.1951,0.16,0.1619,382363.08,69400.82
1497398400000,"2017-06-13",0.1552,0.1929,0.1475,0.1879,382650.23,68043.38
1497484800000,"2017-06-14",0.2138,0.2168,0.1435,0.1552,435775.99,72424.72
1497571200000,"2017-06-15",0.2215,0.24,0.1745,0.2138,422242.81,90245.69
1497657600000,"2017-06-16",0.2199,0.24,0.011,0.2215,332504.65,66061.8
1497744000000,"2017-06-17",0.1889,0.2207,0.1853,0.2199,268073.81,53358.94
1497830400000,"2017-06-18",0.1838,0.2026,0.1802,0.1889,290381.59,55412.52
1497916800000,"2017-06-19",0.1989,0.1993,0.1708,0.1838,342772.35,63489.52
1498003200000,"2017-06-20",0.1828,0.204,0.1771,0.1989,347863.75,66177.46
1498089600000,"2017-06-21",0.1823,0.1858,0.1737,0.1828,264614.92,47992.73
1498176000000,"2017-06-22",0.1992,0.2025,0.1775,0.1823,280335.42,52649.6
1498262400000,"2017-06-23",0.1758,0.2001,0.175,0.1992,215272.84,40564.79
1498348800000,"2017-06-24",0.1591,0.1837,0.03,0.1758,218635.87,37768.31
1498435200000,"2017-06-25",0.1455,0.1662,0.1277,0.1591,351019.5,51643.48
1498521600000,"2017-06-26",0.1464,0.1515,0.1147,0.1455,372867.62,50972.03
1498608000000,"2017-06-27",0.1697,0.1738,0.1403,0.1464,311287.24,47786.77
1498694400000,"2017-06-28",0.149,0.1704,0.149,0.1697,365415.54,57227.91
1498780800000,"2017-06-29",0.1357,0.1514,0.1357,0.149,262961.52,38393.7
1498867200000,"2017-06-30",0.1213,0.1366,0.1191,0.1357,309250.1,40354.51
1498953600000,"2017-07-01",0.1206,0.129,0.1092,0.1213,311335.08,37488.3
1499040000000,"2017-07-02",0.1277,0.1293,0.1173,0.1206,344684.59,42781.63
1499126400000,"2017-07-03",0.1288,0.1367,0.1233,0.1277,287375.02,37255.37
1499212800000,"2017-07-04",0.1247,0.1302,0.1224,0.1288,275874.02,34695.3
1499299200000,"2017-07-05",0.1263,0.1271,0.1196,0.1247,161747.79,20036.31
1499385600000,"2017-07-06",0.1065,0.1263,0.09938,0.1263,254779.37,27429.08
1499472000000,"2017-07-07",0.104,0.1074,0.09661,0.1065,310720.24,31374.57
1499558400000,"2017-07-08",0.1066,0.1091,0.1028,0.104,371114.28,39224.16
1499644800000,"2017-07-09",0.0862,0.1094,0.08295,0.1066,295619.2,29307.7
1499731200000,"2017-07-10",0.08599,0.09307,0.07309,0.0862,366719.64,31494.79
