"time","timeDate","close","high","low","open","volumefrom","volumeto"
1498089600000,"2017-06-21",4.22,5,3.6,5,7929.3,32294.29
1498176000000,"2017-06-22",4.06,4.59,3.67,4.22,16743.7,68518.38
1498262400000,"2017-06-23",3.36,4.06,3.32,4.06,14905.83,54691.28
1498348800000,"2017-06-24",2.75,3.51,2.52,3.36,19125.74,58872.9
1498435200000,"2017-06-25",2.55,2.94,2.1,2.75,19916.9,49698.41
1498521600000,"2017-06-26",3,3,2.17,2.55,16916.25,42339.49
1498608000000,"2017-06-27",3.44,3.53,2.76,3,16316.38,51048.93
1498694400000,"2017-06-28",3.11,3.69,3,3.44,17860.38,58922.25
1498780800000,"2017-06-29",2.8,3.18,2.8,3.11,15574.42,47817.05
1498867200000,"2017-06-30",2.69,2.84,2.49,2.8,12927.31,34621.92
1498953600000,"2017-07-01",2.87,2.96,2.5,2.69,11894.58,31184.93
1499040000000,"2017-07-02",2.84,2.87,2.62,2.87,16317.06,45352.23
1499126400000,"2017-07-03",2.79,2.95,2.68,2.84,13188.55,37437.56
1499212800000,"2017-07-04",2.73,2.8,2.52,2.79,12802.18,34524.79
1499299200000,"2017-07-05",2.76,2.8,2.61,2.73,7723.56,21069.47
1499385600000,"2017-07-06",2.44,2.76,2.43,2.76,12108.89,30698.96
1499472000000,"2017-07-07",2.46,2.48,2.35,2.44,12468.49,30202.42
1499558400000,"2017-07-08",2.39,2.51,2.35,2.46,13431.66,32674.54
1499644800000,"2017-07-09",2.02,2.39,1.92,2.39,16118.53,35606.88
1499731200000,"2017-07-10",1.9,2.06,1.66,2.02,17602.96,33518.06
1499817600000,"2017-07-11",2.12,2.13,1.82,1.9,13162,25880.74
1499904000000,"2017-07-12",2.04,2.12,1.93,2.12,14490.02,29386.7
1499990400000,"2017-07-13",1.92,2.05,1.83,2.04,16041.25,31341.95
1500076800000,"2017-07-14",1.73,1.94,1.73,1.92,14919.7,27334.83
1500163200000,"2017-07-15",1.55,1.73,1.36,1.73,17598.77,27272.19
1500249600000,"2017-07-16",1.86,1.87,1.55,1.55,15324.82,26018.05
1500336000000,"2017-07-17",2.23,2.51,1.8,1.86,18245.02,36293.23
1500422400000,"2017-07-18",1.79,2.4,1.78,2.23,18360.59,39256.92
1500508800000,"2017-07-19",2.07,2.17,1.79,1.79,19752.8,40233.6
1500595200000,"2017-07-20",1.98,2.19,1.97,2.07,18550,38661.14
1500681600000,"2017-07-21",2.18,2.18,1.97,1.98,18688.2,38879.39
1500768000000,"2017-07-22",2.24,2.26,2.05,2.18,18714.08,40145.97
1500854400000,"2017-07-23",2.26,2.3,2.18,2.24,15041.56,33882.33
1500940800000,"2017-07-24",1.98,2.27,1.9,2.26,16971.92,35034.88
1501027200000,"2017-07-25",1.96,2.02,1.92,1.98,17262.32,33986.68
1501113600000,"2017-07-26",2.01,2.02,1.93,1.96,16332.45,32168.49
1501200000000,"2017-07-27",1.76,2.02,1.75,2.01,15522.92,29783.28
1501286400000,"2017-07-28",1.84,1.84,1.65,1.76,16942.99,29092.66
1501372800000,"2017-07-29",1.78,1.87,1.76,1.84,17750.08,32215.13
1501459200000,"2017-07-30",1.83,1.83,1.73,1.78,18076.04,32258.66
1501545600000,"2017-07-31",2.07,2.1,1.82,1.83,16115.27,31577.47
1501632000000,"2017-08-01",1.96,2.08,1.95,2.07,17147.35,34856.95
1501718400000,"2017-08-02",2.01,2.04,1.94,1.96,17735.72,35333.08
1501804800000,"2017-08-03",2.04,2.07,1.98,2.01,18376.08,37085.17
1501891200000,"2017-08-04",2.26,2.28,2,2.04,19958.71,42587.02
1501977600000,"2017-08-05",2.38,2.43,2.24,2.26,17742.56,41716.01
1502064000000,"2017-08-06",2.35,2.44,2.34,2.38,15634.72,37323.23
1502150400000,"2017-08-07",2.62,2.66,2.35,2.35,16955.32,42076.66
1502236800000,"2017-08-08",2.58,2.76,1.24,2.62,19738.01,50890.33
1502323200000,"2017-08-09",2.64,2.69,2.47,2.58,17668.11,45681.6
1502409600000,"2017-08-10",2.81,2.82,2.55,2.64,18840.85,50708.28
1502496000000,"2017-08-11",2.94,3.01,2.75,2.81,20188.13,58416.65
1502582400000,"2017-08-12",2.84,2.96,2.71,2.94,17845.38,49631.41
1502668800000,"2017-08-13",2.74,2.94,2.71,2.84,16712.41,46668.15
1502755200000,"2017-08-14",2.6,2.75,2.47,2.74,20377.07,53196.79
1502841600000,"2017-08-15",2.73,2.73,2.54,2.6,18532.87,48919.31
1502928000000,"2017-08-16",2.71,2.82,2.67,2.73,17343.87,47584.96
1503014400000,"2017-08-17",2.58,2.77,2.56,2.71,17703.46,47209.07
1503100800000,"2017-08-18",2.53,2.65,2.46,2.58,17063.35,43295.98
1503187200000,"2017-08-19",2.57,2.63,2.49,2.53,16174.72,41265.22
1503273600000,"2017-08-20",2.67,2.95,2.55,2.57,19103.25,52456.2
1503360000000,"2017-08-21",2.53,2.72,2.42,2.67,18132.35,46150.54
1503446400000,"2017-08-22",2.65,2.75,2.53,2.53,13888.95,36819.64
1503532800000,"2017-08-23",2.69,2.7,2.57,2.65,15521.45,40996.02
1503619200000,"2017-08-24",2.66,2.85,2.6,2.69,14148.44,38153.58
1503705600000,"2017-08-25",2.64,2.66,2.63,2.66,1313.29,3470.85
1503792000000,"2017-08-26",3.01,3.03,2.64,2.64,11876.27,33909.55
1503878400000,"2017-08-27",3.01,3.09,2.92,3.01,12341.33,36750.19
1503964800000,"2017-08-28",3.18,3.2,2.92,3.01,16380.61,50603.05
1504051200000,"2017-08-29",3.17,3.22,3.07,3.18,21027.82,66564.76
1504137600000,"2017-08-30",3.2,3.21,3.09,3.17,18230.51,57507.56
1504224000000,"2017-08-31",3.17,3.26,3.16,3.2,14489.02,46593.66
1504310400000,"2017-09-01",2.75,3.17,2.69,3.17,16039.59,46572.72
1504396800000,"2017-09-02",2.8,2.95,2.71,2.75,16490.25,46377.97
1504483200000,"2017-09-03",2.42,2.81,2.18,2.8,13912.17,34957.18
1504569600000,"2017-09-04",2.55,2.63,2.18,2.42,13444.45,32191.85
1504656000000,"2017-09-05",2.65,2.75,2.53,2.55,13432.48,35246.93
1504742400000,"2017-09-06",2.7,2.75,2.58,2.65,12948.07,34332.72
1504828800000,"2017-09-07",2.38,2.72,2.31,2.7,11057.74,28149.49
1504915200000,"2017-09-08",2.34,2.4,2.31,2.38,10316.62,24288.47
1505001600000,"2017-09-09",2.32,2.37,2.15,2.34,10535.45,23881.52
1505088000000,"2017-09-10",2.32,2.35,2.28,2.32,13061.94,30245.42
1505174400000,"2017-09-11",2.31,2.45,2.25,2.32,13901.49,32696.13
1505260800000,"2017-09-12",2.12,2.38,2.04,2.31,11217.78,24215.62
1505347200000,"2017-09-13",1.73,2.12,1.73,2.12,12018.24,22954.81
1505433600000,"2017-09-14",1.96,1.99,1.49,1.73,15418.47,27581.17
1505520000000,"2017-09-15",1.94,2.01,1.84,1.96,16139.22,31104.65
1505606400000,"2017-09-16",2.01,2.01,1.85,1.94,12422.82,23911.8
1505692800000,"2017-09-17",2.22,2.27,2.01,2.01,15433.13,33632
1505779200000,"2017-09-18",2.13,2.23,2.1,2.22,12128.31,26345.47
1505865600000,"2017-09-19",2.17,2.21,2.08,2.13,12911.37,27661.9
1505952000000,"2017-09-20",1.99,2.17,1.91,2.17,12755.12,26313.61
1506038400000,"2017-09-21",2.01,2.04,1.92,1.99,9862.06,19488.57
1506124800000,"2017-09-22",2.13,2.14,1.98,2.01,10383.04,21447.14
1506211200000,"2017-09-23",2.13,2.19,2.1,2.13,10249.84,21853.16
1506297600000,"2017-09-24",2.25,2.25,2.1,2.13,8586.58,18804.61
1506384000000,"2017-09-25",2.17,2.25,2.12,2.25,11468.92,25171.06
1506470400000,"2017-09-26",2.3,2.32,2.16,2.17,13481.42,29724.21
1506556800000,"2017-09-27",2.3,2.34,2.28,2.3,9493.71,21811.3
1506643200000,"2017-09-28",2.26,2.31,2.13,2.3,13137.2,29203.84
1506729600000,"2017-09-29",2.32,2.42,2.22,2.26,11788.14,27640.61
1506816000000,"2017-09-30",2.38,2.39,2.24,2.32,15169.57,34531.02
1506902400000,"2017-10-01",2.19,2.39,2,2.38,14555.84,32318.21
1506988800000,"2017-10-02",2.1,2.22,2.02,2.19,15204.99,32237.77
1507075200000,"2017-10-03",2.16,2.18,2.09,2.1,9142.07,19673.04
1507161600000,"2017-10-04",2.18,2.19,2.11,2.16,12718.41,27411.58
1507248000000,"2017-10-05",2.26,2.36,2.18,2.18,12011.92,26656.24
1507334400000,"2017-10-06",2.27,2.3,2.23,2.26,10689.74,24193.88
1507420800000,"2017-10-07",2.29,2.33,2.26,2.27,11707.43,26833.09
1507507200000,"2017-10-08",2.21,2.3,2.03,2.29,12675.45,28367.09
1507593600000,"2017-10-09",2.19,2.25,2.17,2.21,12890.88,28450.09
1507680000000,"2017-10-10",2.21,2.24,2.18,2.19,11493.85,25367.48
1507766400000,"2017-10-11",2.19,2.26,2.18,2.21,11000.99,24407.76
1507852800000,"2017-10-12",2.46,2.5,2.15,2.19,8571.53,19683.05
1507939200000,"2017-10-13",2.39,2.46,2.39,2.46,3853.27,9312.54
1508025600000,"2017-10-14",2.31,2.42,2.25,2.39,6055.25,13967.66
1508112000000,"2017-10-15",2.36,2.39,2.31,2.31,16453.13,38934.75
1508198400000,"2017-10-16",2.23,2.36,2.22,2.36,18693.38,42752.1
1508284800000,"2017-10-17",2.13,2.23,2.02,2.23,22495.25,47533.36
1508371200000,"2017-10-18",2.14,2.15,2.09,2.13,28012.6,59552.85
1508457600000,"2017-10-19",2.08,2.14,2.07,2.14,25682.42,54129.95
1508544000000,"2017-10-20",2.01,2.08,1.95,2.08,24861.13,50266.86
1508630400000,"2017-10-21",1.96,2.05,1.92,2.01,25992.96,51914.62
1508716800000,"2017-10-22",1.89,1.99,1.86,1.96,28502.76,54719.59
1508803200000,"2017-10-23",1.96,2.11,1.89,1.89,28343.13,57641.75
1508889600000,"2017-10-24",1.98,1.99,1.91,1.96,29495.81,57490.61
1508976000000,"2017-10-25",1.92,1.99,1.87,1.98,27282.9,53200.92
1509062400000,"2017-10-26",1.91,1.94,1.87,1.92,29065.41,55273.35
1509148800000,"2017-10-27",1.89,1.92,1.85,1.91,21771.76,41047.26
1509235200000,"2017-10-28",1.98,2,1.88,1.89,29256.72,56705.32
1509321600000,"2017-10-29",1.98,2,1.95,1.98,23087,45537.06
1509408000000,"2017-10-30",2,2.03,1.97,1.98,23430.45,46607.24
1509494400000,"2017-10-31",1.92,2.01,1.9,2,23771.8,46384.02
1509580800000,"2017-11-01",1.8,1.93,1.78,1.92,9955.19,18437.47
1509667200000,"2017-11-02",1.93,1.94,1.9,1.91,14986.54,28725.3
1509753600000,"2017-11-03",1.9,1.94,1.87,1.93,28409.77,54237.21
1509840000000,"2017-11-04",1.87,1.93,1.85,1.9,30545.21,57281.51
1509926400000,"2017-11-05",1.86,1.9,1.81,1.87,29846.23,55523.47
1510012800000,"2017-11-06",1.82,1.9,1.77,1.86,14926.84,27897.88
1510099200000,"2017-11-07",1.86,1.86,1.81,1.82,1183.11,2182.89
1510185600000,"2017-11-08",2.02,2.07,1.98,1.99,14502.13,29510.41
1510272000000,"2017-11-09",1.88,2.05,1.84,2.02,23626.38,46460.28
1510358400000,"2017-11-10",1.92,1.93,1.84,1.88,21956.93,41577.05
1510444800000,"2017-11-11",1.86,1.92,1.79,1.92,19125.13,35643.81
1510531200000,"2017-11-12",1.95,1.99,1.84,1.86,16337.63,31357.99
1510617600000,"2017-11-13",2.03,2.04,1.94,1.95,21260.99,42378.59
1510704000000,"2017-11-14",1.99,2.06,1.98,2.03,19433.04,39178.94
1510790400000,"2017-11-15",1.98,2,1.94,1.99,28454.86,55916.2
1510876800000,"2017-11-16",1.96,1.99,1.93,1.98,26969.85,52991.84
1510963200000,"2017-11-17",2.05,2.08,1.93,1.96,27744.01,54762.12
1511049600000,"2017-11-18",2.1,2.2,2.05,2.05,24953.58,52670.53
