"time","timeDate","close","high","low","open","volumefrom","volumeto"
1497830400000,"2017-06-18",0.3571,0.5,0.25,0.25,13946.09,4075.36
1497916800000,"2017-06-19",0.385,0.74,0.2,0.3571,8136.24,2960.6
1498003200000,"2017-06-20",0.2379,0.385,0.2315,0.385,120268.49,31807.47
1498089600000,"2017-06-21",0.216,0.254,0.2144,0.2379,215250.24,50104.13
1498176000000,"2017-06-22",0.2559,0.2613,0.213,0.216,204151.93,45735.16
1498262400000,"2017-06-23",0.281,0.3199,0.2439,0.2559,180077.34,49159.92
1498348800000,"2017-06-24",0.2382,0.2836,0.2318,0.281,154510.9,39684.26
1498435200000,"2017-06-25",0.1936,0.2455,0.1665,0.2382,170534.4,35310.79
1498521600000,"2017-06-26",0.2098,0.2098,0.1549,0.1936,190339.03,35335.37
1498608000000,"2017-06-27",0.2017,0.2155,0.1981,0.2098,188167.14,38573.87
1498694400000,"2017-06-28",0.1873,0.2061,0.131,0.2017,240619.02,46799.56
1498780800000,"2017-06-29",0.1738,0.1976,0.1737,0.1873,239766.27,44437.63
1498867200000,"2017-06-30",0.1565,0.1743,0.1525,0.1738,218905.35,36029.46
1498953600000,"2017-07-01",0.1853,0.1877,0.1456,0.1565,211566.38,33311.81
1499040000000,"2017-07-02",0.188,0.1892,0.1706,0.1853,206017.98,36794.49
1499126400000,"2017-07-03",0.1748,0.1938,0.1676,0.188,197070.43,35709.74
1499212800000,"2017-07-04",0.1642,0.1813,0.1489,0.1748,270250.13,43952.14
1499299200000,"2017-07-05",0.1593,0.1678,0.1532,0.1642,106533.56,17372.21
1499385600000,"2017-07-06",0.1301,0.1593,0.1294,0.1593,208460.12,28897.93
1499472000000,"2017-07-07",0.134,0.134,0.1225,0.1301,266270.43,33922.72
1499558400000,"2017-07-08",0.1285,0.1362,0.126,0.134,288164.41,38053.14
1499644800000,"2017-07-09",0.1022,0.1287,0.09802,0.1285,335003.66,38443.74
1499731200000,"2017-07-10",0.0804,0.1042,0.07062,0.1022,453219.96,38438.3
1499817600000,"2017-07-11",0.1101,0.2436,0.07678,0.0804,332240.29,29453.32
1499904000000,"2017-07-12",0.09823,0.1104,0.08924,0.1101,275247.89,26708.21
1499990400000,"2017-07-13",0.08998,0.09864,0.0874,0.09823,362885.79,33732.55
1500076800000,"2017-07-14",0.08208,0.09651,0.08208,0.08998,277188.31,24573.96
1500163200000,"2017-07-15",0.07655,0.08187,0.06755,0.08151,398980.58,30440.39
1500249600000,"2017-07-16",0.09352,0.09357,0.07639,0.07655,403898.4,33225.52
1500336000000,"2017-07-17",0.09433,0.1071,0.09,0.09352,378658.23,35373.7
1500422400000,"2017-07-18",0.08378,0.1029,0.07997,0.09433,392537.98,37211.39
1500508800000,"2017-07-19",0.1025,0.12,0.0834,0.08378,402896.98,37674.42
1500595200000,"2017-07-20",0.1002,0.1111,0.09935,0.1025,322155.66,33982.38
1500681600000,"2017-07-21",0.1089,0.1091,0.0998,0.1002,391726.66,41007.78
1500768000000,"2017-07-22",0.1061,0.1111,0.1021,0.1089,373127.7,39939.77
1500854400000,"2017-07-23",0.1219,0.1222,0.1003,0.1061,371118.04,39650.03
1500940800000,"2017-07-24",0.09907,0.1388,0.0979,0.1219,390910.3,45116.35
1501027200000,"2017-07-25",0.0956,0.1029,0.09409,0.09907,306539.32,30135.15
1501113600000,"2017-07-26",0.0929,0.09786,0.0913,0.0956,339360.28,32206.48
1501200000000,"2017-07-27",0.08771,0.0929,0.08571,0.0929,399668.77,35335.34
1501286400000,"2017-07-28",0.08446,0.08894,0.07777,0.08771,354956.1,29476.35
1501372800000,"2017-07-29",0.07836,0.08488,0.0751,0.08446,390541.68,30995.7
1501459200000,"2017-07-30",0.08211,0.08211,0.07669,0.07836,353359.7,27759.08
1501545600000,"2017-07-31",0.09066,0.09377,0.08059,0.08211,422449.72,36580.26
1501632000000,"2017-08-01",0.09696,0.09807,0.08867,0.09066,384067.87,35156.25
1501718400000,"2017-08-02",0.09993,0.1003,0.09169,0.09696,358288.3,34652.47
1501804800000,"2017-08-03",0.1008,0.101,0.09778,0.09993,379958.11,37635.45
1501891200000,"2017-08-04",0.1076,0.1112,0.0988,0.1008,365897.19,38296.07
1501977600000,"2017-08-05",0.1075,0.1097,0.1003,0.1076,332218.33,35359.54
1502064000000,"2017-08-06",0.1025,0.1075,0.1007,0.1075,356067.84,36480.42
1502150400000,"2017-08-07",0.1256,0.1267,0.1015,0.1025,368149.86,39671.54
1502236800000,"2017-08-08",0.1177,0.1263,0.1113,0.1256,315271.52,37142.52
1502323200000,"2017-08-09",0.1139,0.1205,0.1139,0.1177,348039.01,40871.95
1502409600000,"2017-08-10",0.177,0.2049,0.113,0.1139,477823.81,71488.82
1502496000000,"2017-08-11",0.1897,0.259,0.1753,0.177,429978.32,91452.34
1502582400000,"2017-08-12",0.1772,0.1921,0.1513,0.1897,350228.09,60166.94
1502668800000,"2017-08-13",0.1744,0.1967,0.1594,0.1772,326560.97,57130.88
1502755200000,"2017-08-14",0.1686,0.1759,0.1506,0.1744,323577.17,53801.25
1502841600000,"2017-08-15",0.1962,0.2257,0.1686,0.1686,337792.71,64305.88
1502928000000,"2017-08-16",0.2475,0.2475,0.1932,0.1962,280869.33,62859.02
1503014400000,"2017-08-17",0.1955,0.2511,0.1743,0.2475,286834.39,61402.09
1503100800000,"2017-08-18",0.1908,0.2075,0.1814,0.1955,228433.64,43633.82
1503187200000,"2017-08-19",0.2094,0.211,0.1843,0.1908,221609.14,42645
1503273600000,"2017-08-20",0.2135,0.221,0.1965,0.2101,235729.91,49015.87
1503360000000,"2017-08-21",0.1919,0.2144,0.1837,0.2135,212979.92,41074.8
1503446400000,"2017-08-22",0.2365,0.2458,0.1919,0.1919,187283.47,40396.47
1503532800000,"2017-08-23",0.2409,0.25,0.2365,0.2365,182922.2,44643.91
1503619200000,"2017-08-24",0.2406,0.2556,0.2351,0.2409,146564.31,36476.24
1503705600000,"2017-08-25",0.2428,0.245,0.2402,0.2406,11741.3,2845.11
1503792000000,"2017-08-26",0.2689,0.273,0.241,0.2428,152122.17,38377.85
1503878400000,"2017-08-27",0.2953,0.2963,0.2454,0.2689,172429.2,45273.15
1503964800000,"2017-08-28",0.2659,0.2991,0.2642,0.2953,201013.14,56447.13
1504051200000,"2017-08-29",0.2537,0.2684,0.2262,0.2659,278707.03,69505.11
1504137600000,"2017-08-30",0.2505,0.2537,0.2319,0.2537,251650.1,61614.73
1504224000000,"2017-08-31",0.2499,0.2735,0.2431,0.2505,186496.67,47242.41
1504310400000,"2017-09-01",0.2051,0.2517,0.2009,0.2499,232601.18,52018.28
1504396800000,"2017-09-02",0.2056,0.2264,0.2009,0.2051,231015.2,48921.6
1504483200000,"2017-09-03",0.1631,0.2086,0.1506,0.2056,217743.4,39087.44
1504569600000,"2017-09-04",0.1705,0.1756,0.1409,0.1631,223404.42,35818.67
1504656000000,"2017-09-05",0.1781,0.1811,0.1695,0.1705,205710.85,36260.22
1504742400000,"2017-09-06",0.1784,0.1784,0.1674,0.1781,171461.71,29532.98
1504828800000,"2017-09-07",0.151,0.181,0.1463,0.1784,176523.49,29834.62
1504915200000,"2017-09-08",0.1469,0.1541,0.1436,0.151,159805.35,23861.09
1505001600000,"2017-09-09",0.1436,0.1479,0.131,0.1469,200109.32,27785.41
1505088000000,"2017-09-10",0.1415,0.1451,0.1357,0.1436,209584.98,29494.75
1505174400000,"2017-09-11",0.143,0.1538,0.1404,0.1415,205439.03,29666.76
1505260800000,"2017-09-12",0.1436,0.1446,0.1227,0.143,193290.56,25777.34
1505347200000,"2017-09-13",0.1081,0.1436,0.1081,0.1436,190251.81,22881.22
1505433600000,"2017-09-14",0.1272,0.1284,0.09169,0.1081,273208.77,30990.5
1505520000000,"2017-09-15",0.137,0.1379,0.1233,0.1272,240361.53,31504.35
1505606400000,"2017-09-16",0.1635,0.1719,0.13,0.137,198864.06,29485.5
1505692800000,"2017-09-17",0.1936,0.2051,0.1628,0.1635,222277.62,40432.66
1505779200000,"2017-09-18",0.172,0.204,0.1672,0.1936,215381.21,39336.5
1505865600000,"2017-09-19",0.1735,0.1827,0.1692,0.172,152334.21,26803.89
1505952000000,"2017-09-20",0.1316,0.1735,0.1235,0.1735,203792.63,30222.89
1506038400000,"2017-09-21",0.1251,0.135,0.1216,0.1316,184959.87,23661.37
1506124800000,"2017-09-22",0.133,0.1364,0.1241,0.1251,147405.97,19239.86
1506211200000,"2017-09-23",0.1281,0.1335,0.1255,0.133,151815.44,19724.26
1506297600000,"2017-09-24",0.1494,0.1545,0.1263,0.1281,180014.58,24922.57
1506384000000,"2017-09-25",0.146,0.1494,0.1395,0.1494,181650.22,26318.67
1506470400000,"2017-09-26",0.1507,0.1564,0.142,0.146,182486.42,26896
1506556800000,"2017-09-27",0.1412,0.1523,0.1404,0.1507,114973.08,16638.23
1506643200000,"2017-09-28",0.1412,0.1436,0.1301,0.1412,205899.32,28288.08
1506729600000,"2017-09-29",0.1438,0.1483,0.1396,0.1412,199305.68,28887.86
1506816000000,"2017-09-30",0.1337,0.1463,0.1308,0.1438,236148.52,32682.74
1506902400000,"2017-10-01",0.1299,0.1359,0.1275,0.1337,230244.15,30282.73
1506988800000,"2017-10-02",0.129,0.1361,0.1257,0.1299,216705.05,28191.78
1507075200000,"2017-10-03",0.1343,0.1428,0.1284,0.129,164065.86,21828.89
1507161600000,"2017-10-04",0.1312,0.1349,0.1267,0.1343,245216.75,31965.72
1507248000000,"2017-10-05",0.1284,0.133,0.1269,0.1312,184731.41,23888.86
1507334400000,"2017-10-06",0.115,0.1292,0.1141,0.1284,210598.2,25768.82
1507420800000,"2017-10-07",0.09528,0.1159,0.09467,0.115,294128.44,32107.47
1507507200000,"2017-10-08",0.09056,0.1005,0.08901,0.09528,297797.93,28540.82
1507593600000,"2017-10-09",0.09485,0.1048,0.08794,0.09056,364865.15,34051.48
1507680000000,"2017-10-10",0.1083,0.1106,0.09445,0.09485,295268.26,29936.97
1507766400000,"2017-10-11",0.1003,0.1089,0.09921,0.1083,259985.23,26903.34
1507852800000,"2017-10-12",0.08869,0.1008,0.08533,0.1003,191154.88,18371.73
1507939200000,"2017-10-13",0.08837,0.09294,0.08608,0.08869,143356.81,12751.12
1508025600000,"2017-10-14",0.0864,0.091,0.08475,0.08837,150344.9,13073.26
1508112000000,"2017-10-15",0.09461,0.1114,0.07811,0.0864,600476.06,52217.47
1508198400000,"2017-10-16",0.09591,0.1078,0.08803,0.09461,516399.64,49095.37
1508284800000,"2017-10-17",0.08969,0.09639,0.08417,0.09591,256827.86,23039.35
1508371200000,"2017-10-18",0.08814,0.09012,0.08529,0.08969,392154.74,34536.82
1508457600000,"2017-10-19",0.08571,0.09368,0.08534,0.08814,314881.43,28121.14
1508544000000,"2017-10-20",0.07963,0.08571,0.07963,0.08571,330066.8,27273.13
1508630400000,"2017-10-21",0.07487,0.08211,0.07225,0.07963,429517.82,33383.98
