"time","timeDate","close","high","low","open","volumefrom","volumeto"
1491177600000,"2017-04-02",0.02578,0.03837,0.02578,0.03674,20632.97,677.35
1491264000000,"2017-04-03",0.03963,0.03997,0.02473,0.02578,168723.02,5812.64
1491350400000,"2017-04-04",0.04404,0.04413,0.03762,0.03963,132743.12,5181.2
1491436800000,"2017-04-05",0.0506,0.05478,0.04365,0.04404,50361.13,2500.13
1491523200000,"2017-04-06",0.07468,0.0862,0.0506,0.0506,158047.69,10665.08
1491609600000,"2017-04-07",0.06528,0.07713,0.05798,0.07468,135765.43,9438.61
1491696000000,"2017-04-08",0.07131,0.07603,0.06519,0.06528,162475.72,11169.21
1491782400000,"2017-04-09",0.0722,0.074,0.06973,0.07131,124860.95,9019.6
1491868800000,"2017-04-10",0.08029,0.0823,0.07172,0.0722,126729.31,9770.88
1491955200000,"2017-04-11",0.0891,0.09,0.07936,0.08029,107068.49,9216.11
1492041600000,"2017-04-12",0.09676,0.09764,0.0891,0.0891,148038.75,13899.74
1492128000000,"2017-04-13",0.1147,0.1196,0.09252,0.09676,141063.33,14356.45
1492214400000,"2017-04-14",0.1093,0.1155,0.1009,0.1147,94779.05,10512.56
1492300800000,"2017-04-15",0.1125,0.1147,0.102,0.1093,97575.02,10715.16
1492387200000,"2017-04-16",0.1054,0.1126,0.09715,0.1125,130704.31,13812.42
1492473600000,"2017-04-17",0.1486,0.1744,0.1049,0.1054,71080.24,9257.62
1492560000000,"2017-04-18",0.1307,0.1566,0.126,0.1486,95746.48,13240.86
1492646400000,"2017-04-19",0.1222,0.1408,0.1174,0.1307,59367.45,7685.73
1492732800000,"2017-04-20",0.1196,0.1327,0.1164,0.1222,57082.64,7076.58
1492819200000,"2017-04-21",0.118,0.1264,0.114,0.1196,38446.07,4557.37
1492905600000,"2017-04-22",0.1108,0.123,0.1108,0.118,76128.66,8767.95
1492992000000,"2017-04-23",0.09782,0.1123,0.0957,0.1108,77543.82,8004.66
1493078400000,"2017-04-24",0.1066,0.1126,0.08676,0.09782,114166.96,10958.19
1493164800000,"2017-04-25",0.1084,0.1285,0.09935,0.1066,57660.33,6496.93
1493251200000,"2017-04-26",0.1133,0.1195,0.1035,0.1084,96853.24,10701.13
1493337600000,"2017-04-27",0.1119,0.125,0.1074,0.1133,86298.42,9626.38
1493424000000,"2017-04-28",0.1191,0.1236,0.1087,0.1119,70106.98,8030.83
1493510400000,"2017-04-29",0.1238,0.1302,0.1191,0.1191,74229.09,9130.67
1493596800000,"2017-04-30",0.1127,0.1298,0.1102,0.1238,97797.81,11595.78
1493683200000,"2017-05-01",0.1214,0.1266,0.1122,0.1127,204090.52,24421.51
1493769600000,"2017-05-02",0.1327,0.1346,0.1193,0.1214,261954.5,32932.7
1493856000000,"2017-05-03",0.127,0.1329,0.1242,0.1327,229455.18,29673.06
1493942400000,"2017-05-04",0.1144,0.1302,0.1129,0.127,274503.57,33608.39
1494028800000,"2017-05-05",0.1234,0.1238,0.1101,0.1144,280206.81,32365.74
1494115200000,"2017-05-06",0.1199,0.1275,0.112,0.1234,227613.83,27138.27
1494201600000,"2017-05-07",0.1266,0.1276,0.1187,0.1199,222063.09,27266.72
1494288000000,"2017-05-08",0.1247,0.1285,0.1166,0.1266,231601.03,28531
1494374400000,"2017-05-09",0.1484,0.1556,0.1204,0.1247,216711.02,28866.91
1494460800000,"2017-05-10",0.1382,0.1552,0.1382,0.1484,224020.85,32914.94
