"time","timeDate","close","high","low","open","volumefrom","volumeto"
1490832000000,"2017-03-29",11,11,1.05,1.05,10.66,85.82
1490918400000,"2017-03-30",46.46,50.11,11,11,16.49,776.83
1491004800000,"2017-03-31",48.25,50.46,45.18,46.46,155.99,7568.06
1491091200000,"2017-04-01",50.82,50.82,44.56,48.25,313.83,15332.5
1491177600000,"2017-04-02",44.07,50.82,43.52,50.82,208.34,9702.78
1491264000000,"2017-04-03",44.72,45.28,41.66,44.07,208.56,9026.38
1491350400000,"2017-04-04",46.05,47.86,44.13,44.72,618.99,28684.86
1491436800000,"2017-04-05",43.39,46.05,43.24,46.05,763.15,34260.49
1491523200000,"2017-04-06",42.64,44.36,41.97,43.39,803.07,34718.48
1491609600000,"2017-04-07",44.38,45.19,42.56,42.64,634.76,28126.83
1491696000000,"2017-04-08",43.56,44.75,43.24,44.38,728.46,32003.86
1491782400000,"2017-04-09",44.24,44.43,43.24,43.56,576.32,25116.58
1491868800000,"2017-04-10",43.66,44.24,42.81,44.24,841.1,36733.97
1491955200000,"2017-04-11",46.56,47.09,42.81,43.66,1115.81,49451.75
1492041600000,"2017-04-12",50.14,51.32,45.9,46.56,1013.33,49641.54
1492128000000,"2017-04-13",48.03,50.93,46.59,50.14,1169.21,56406.87
1492214400000,"2017-04-14",49.81,50.33,47.29,48.03,1117.71,54198.96
1492300800000,"2017-04-15",49.22,49.97,48.24,49.81,968.79,47621.98
1492387200000,"2017-04-16",49.4,49.77,47.97,49.22,994.56,48622.59
1492473600000,"2017-04-17",52.55,53.83,48.8,49.4,1266.55,64434.61
1492560000000,"2017-04-18",50.38,54.04,50.26,52.55,1084.64,56832.7
1492646400000,"2017-04-19",52.54,52.54,49.77,50.38,837.61,42846.84
1492732800000,"2017-04-20",53.27,54.13,51.92,52.54,968.67,51486.11
1492819200000,"2017-04-21",52.12,53.59,51.38,53.27,848.21,44302.74
1492905600000,"2017-04-22",52.71,53.52,50.77,52.12,819.5,42910.17
1492992000000,"2017-04-23",53.84,54.13,52.71,52.71,774.66,41371.38
1493078400000,"2017-04-24",53.45,54.67,52.98,53.84,905.23,48666.42
1493164800000,"2017-04-25",57.68,58.32,52.83,53.45,859.36,47737.04
1493251200000,"2017-04-26",68.03,68.03,57,57.68,1041.2,64778.21
1493337600000,"2017-04-27",77.11,77.59,67.14,68.03,957.27,68059.82
1493424000000,"2017-04-28",73.86,77.59,72.05,77.11,661.66,49364.78
1493510400000,"2017-04-29",83.09,83.19,72.77,73.86,754.19,57817.36
1493596800000,"2017-04-30",80.47,87.91,75.83,83.09,650.69,54016.77
1493683200000,"2017-05-01",81.68,84.98,80.47,80.47,613.29,50780.85
1493769600000,"2017-05-02",84.3,85.83,81.3,81.68,714.41,59777.07
1493856000000,"2017-05-03",100.08,100.56,84.3,84.3,750.82,68364.15
1493942400000,"2017-05-04",90.14,101.65,89.41,100.08,645.92,62171.68
1494028800000,"2017-05-05",95.76,95.76,89.81,90.14,597.61,55208.5
1494115200000,"2017-05-06",92.36,97.94,91,95.76,743.02,70715.14
1494201600000,"2017-05-07",91.97,96.3,89.36,92.36,759.77,70237.54
1494288000000,"2017-05-08",88.45,92.94,75.83,91.97,900.48,77810.49
1494374400000,"2017-05-09",88.69,93.87,87.51,88.45,633.48,57110.98
1494460800000,"2017-05-10",87.36,91.46,86.3,88.69,721.06,64208.89
1494547200000,"2017-05-11",86.3,91.11,85.65,87.36,739.38,65945.69
1494633600000,"2017-05-12",89.4,90.21,85.45,86.3,572.43,50100.24
1494720000000,"2017-05-13",88.41,91.11,88.04,89.4,664.12,59414.92
1494806400000,"2017-05-14",92.19,94.81,88.04,88.41,671.43,61595.61
1494892800000,"2017-05-15",89.27,93.87,88.92,92.19,597.69,54556.37
1494979200000,"2017-05-16",87.86,92.94,84.6,89.27,704.34,63118.14
1495065600000,"2017-05-17",98.64,99.28,87.67,87.86,815.59,77086.86
1495152000000,"2017-05-18",122.46,125.27,97.38,98.64,800.35,89064.5
1495238400000,"2017-05-19",126.78,127.26,119.85,122.46,596.54,73447.91
1495324800000,"2017-05-20",144.81,144.98,122.26,126.78,659.26,87496.37
1495411200000,"2017-05-21",152.18,186.51,140.09,144.81,908.26,147512.54
1495497600000,"2017-05-22",163.99,168.85,150.31,152.18,420.73,67674.03
1495584000000,"2017-05-23",185.86,188.38,162.37,163.99,829.44,147269.04
1495670400000,"2017-05-24",167.01,199.97,166.51,185.86,790.55,146411.99
1495756800000,"2017-05-25",154.52,184.26,146.24,167.01,880.57,146374.83
1495843200000,"2017-05-26",146.06,157.49,115.17,154.52,867.73,122256.89
1495929600000,"2017-05-27",160.65,170.54,146.06,146.06,681.84,108092.69
1496016000000,"2017-05-28",182.72,188.38,155.24,160.65,509.76,86420.6
1496102400000,"2017-05-29",229.64,235.77,181.28,182.72,729.56,147882.62
1496188800000,"2017-05-30",220.57,230,195.91,229.64,677.21,144110.59
1496275200000,"2017-05-31",212.62,225.33,203.85,220.57,605,129656.19
1496361600000,"2017-06-01",217.68,223,210.8,212.62,347.69,75306.61
1496448000000,"2017-06-02",219.53,226.36,212,217.68,463.91,101062.27
1496534400000,"2017-06-03",241.66,246.44,217.73,219.53,403.38,94390.71
1496620800000,"2017-06-04",242.2,245.17,234.64,241.66,418.81,100548.48
1496707200000,"2017-06-05",259.11,263.41,236.28,242.2,435.29,110008.6
1496793600000,"2017-06-06",249.53,265,242.97,259.11,449.52,115566.39
1496880000000,"2017-06-07",251.99,254.35,240.51,249.53,966.3,238543.15
1496966400000,"2017-06-08",270,274.95,247.8,251.99,1657.22,436127.19
1497052800000,"2017-06-09",320.53,325.62,269.04,270,2287.11,673430.32
1497139200000,"2017-06-10",335.82,345,311,320.53,988,326961.22
1497225600000,"2017-06-11",370.74,403.53,33,335.82,867.77,304121.35
1497312000000,"2017-06-12",385.53,397.93,346.32,370.74,416.81,154669.19
1497398400000,"2017-06-13",330.26,395.15,314.64,385.53,773.15,280357.87
1497484800000,"2017-06-14",343.09,346,282.02,330.26,1585.1,496838.35
1497571200000,"2017-06-15",346.07,359.69,324.17,343.09,376.1,129498.24
1497657600000,"2017-06-16",366.92,366.92,337.34,346.07,255.82,90027.64
1497744000000,"2017-06-17",347.62,376.13,338.02,366.92,428.52,152472.08
1497830400000,"2017-06-18",355.96,366.92,346.44,347.62,405.6,144728.76
1497916800000,"2017-06-19",371.17,374.29,347.56,355.96,441.51,159892.25
1498003200000,"2017-06-20",322.39,380,299.37,371.17,740.55,244408.28
1498089600000,"2017-06-21",325,342.23,311.52,322.39,768.47,248164.86
1498176000000,"2017-06-22",325.22,333,317.79,325,402.19,130585.39
1498262400000,"2017-06-23",300.24,328.65,295,325.22,501.76,157584.06
1498348800000,"2017-06-24",273.15,311,250.8,300.24,1098.83,323469.94
1498435200000,"2017-06-25",248.76,287.02,210.65,273.15,1417.98,343757.5
1498521600000,"2017-06-26",274.21,274.94,207.16,248.76,926.68,216000.87
1498608000000,"2017-06-27",312.38,319.2,257.86,274.21,655.4,185845.45
1498694400000,"2017-06-28",288.5,320.44,273.81,312.38,695.38,208410.45
1498780800000,"2017-06-29",277.17,300.18,271.98,288.5,514.65,147986.45
1498867200000,"2017-06-30",252.51,277.69,243.67,277.17,601.94,157378.79
1498953600000,"2017-07-01",277.09,283.28,244.47,252.51,876.83,224831.39
1499040000000,"2017-07-02",274.56,282.54,263.04,277.09,524.22,142508.62
1499126400000,"2017-07-03",263.81,283,261.08,274.56,557.59,152150.1
1499212800000,"2017-07-04",262.19,267,249,263.81,891.15,229475.39
1499299200000,"2017-07-05",267.59,269.49,249.58,262.19,607.87,158140.92
1499385600000,"2017-07-06",237.07,267.59,234.88,267.59,607.36,147428.18
1499472000000,"2017-07-07",240,244.01,229.41,237.07,649.02,154347.52
1499558400000,"2017-07-08",235.21,246.7,233.44,240,1001.17,239361.05
1499644800000,"2017-07-09",203.08,237.03,185,235.21,1273.38,270083.91
1499731200000,"2017-07-10",189.89,210,166.44,203.08,1375.31,262845.97
1499817600000,"2017-07-11",213.5,214.39,179.82,189.89,1015.48,202584.5
1499904000000,"2017-07-12",203.93,218.53,191.89,213.5,413.61,82785.28
1499990400000,"2017-07-13",193.67,205.88,180.23,203.93,622.98,120521.76
1500076800000,"2017-07-14",169.89,195.85,169.78,193.67,724.2,131858.62
1500163200000,"2017-07-15",156.64,170.95,136.12,169.89,1528.51,235576.62
1500249600000,"2017-07-16",188.61,190.26,156.11,156.64,1033.13,178577.18
1500336000000,"2017-07-17",225.91,259.16,180.23,188.61,1095.7,227693.23
1500422400000,"2017-07-18",190,242.43,187.78,225.91,850.2,183041.24
1500508800000,"2017-07-19",223.42,231.56,190,190,947.56,204897.56
