"time","timeDate","close","high","low","open","volumefrom","volumeto"
1493596800000,"2017-04-30",78.77,157.28,50.01,138.87,56.71,4540.27
1493683200000,"2017-05-01",94.5,114.27,76.33,78.77,306.47,28172.65
1493769600000,"2017-05-02",82.97,100.09,80.71,94.5,354.06,31031.66
1493856000000,"2017-05-03",90.95,94,82.64,82.97,231.29,20392.81
1493942400000,"2017-05-04",83.21,92.43,80.52,90.95,261.95,22716.39
1494028800000,"2017-05-05",113.83,114.48,83.21,83.21,304.84,29913
1494115200000,"2017-05-06",104.23,115.92,104.02,113.83,216.93,23830.38
1494201600000,"2017-05-07",115.32,117.05,99.3,104.23,155,16921.47
1494288000000,"2017-05-08",99.05,116.52,90.77,115.32,161.6,16565.65
1494374400000,"2017-05-09",111.28,113.52,98.08,99.05,148.19,15912.68
1494460800000,"2017-05-10",109.27,119.82,105.57,111.28,210.55,24284.99
1494547200000,"2017-05-11",108.34,116.52,107.88,109.27,206.47,23194.87
1494633600000,"2017-05-12",114.11,114.11,106.07,108.34,209.56,22951.59
1494720000000,"2017-05-13",112.05,116.12,108.78,114.11,201.85,22807.94
1494806400000,"2017-05-14",121.8,122.35,110.56,112.05,209.9,24319.52
1494892800000,"2017-05-15",123.76,128.47,119.48,121.8,186.8,23072.27
1494979200000,"2017-05-16",123.33,127.67,119.11,123.76,201.67,24885.38
1495065600000,"2017-05-17",135.09,139.39,123.06,123.33,192.83,25547.65
1495152000000,"2017-05-18",160.27,175.47,133.87,135.09,147.63,22285.94
1495238400000,"2017-05-19",175.09,178.07,150.66,160.27,153.21,25426.16
1495324800000,"2017-05-20",211.96,211.96,175.09,175.09,108.83,21197.33
1495411200000,"2017-05-21",217.83,232.05,188.15,211.96,139.83,30210.17
1495497600000,"2017-05-22",226.03,233.57,198.85,217.83,93.6,20124.92
1495584000000,"2017-05-23",256.45,268.54,224.17,226.03,147.57,36467.9
1495670400000,"2017-05-24",220.43,272.31,220.43,256.45,150.38,38077.39
1495756800000,"2017-05-25",192.89,240.87,189.66,220.43,125.75,27526.99
