"time","timeDate","close","high","low","open","volumefrom","volumeto"
1490832000000,"2017-03-29",0.9819,0.9819,0.9819,0.9819,42.06,41.3
1490918400000,"2017-03-30",0.08482,0.9819,0.07801,0.9819,9566.64,839.56
1491004800000,"2017-03-31",0.08723,0.08961,0.08135,0.08482,82478,7170.99
1491091200000,"2017-04-01",0.07991,0.08898,0.07482,0.08723,125755.27,10600.27
1491177600000,"2017-04-02",0.07899,0.0855,0.07378,0.07991,90395.74,7256.52
1491264000000,"2017-04-03",0.07789,0.07969,0.07489,0.07899,95404,7374.05
1491350400000,"2017-04-04",0.07905,0.08338,0.07719,0.07789,164302.59,13032.71
1491436800000,"2017-04-05",0.08214,0.08666,0.07817,0.07905,70415.94,5699.06
1491523200000,"2017-04-06",0.07721,0.08343,0.07639,0.08214,30160.84,2423.26
1491609600000,"2017-04-07",0.07731,0.08222,0.07651,0.07721,32102.04,2518.21
1491696000000,"2017-04-08",0.07428,0.07731,0.07382,0.07731,132762.66,10128.26
1491782400000,"2017-04-09",0.07448,0.07481,0.06962,0.07428,73514.21,5330.07
1491868800000,"2017-04-10",0.07091,0.07459,0.06962,0.07448,65524.12,4737.94
1491955200000,"2017-04-11",0.07537,0.07562,0.06856,0.07091,117607.87,8376.78
1492041600000,"2017-04-12",0.07781,0.08455,0.07537,0.07537,94818.82,7370.58
1492128000000,"2017-04-13",0.07559,0.0794,0.07471,0.07781,111590.31,8537.61
1492214400000,"2017-04-14",0.07765,0.07964,0.07525,0.07559,65756.56,5065.27
1492300800000,"2017-04-15",0.08303,0.08895,0.07765,0.07765,169247.28,13828.57
1492387200000,"2017-04-16",0.093,0.09453,0.08303,0.08303,154898.54,13788.29
1492473600000,"2017-04-17",0.1195,0.1195,0.09129,0.093,208144.36,20967.65
1492560000000,"2017-04-18",0.1046,0.1195,0.1036,0.1195,107308.71,11980.99
1492646400000,"2017-04-19",0.1061,0.111,0.09867,0.1046,104186.67,10900.06
1492732800000,"2017-04-20",0.1102,0.1104,0.1047,0.1061,85289.53,9136.61
1492819200000,"2017-04-21",0.1068,0.112,0.105,0.1102,86156.42,9273
1492905600000,"2017-04-22",0.1064,0.1094,0.1042,0.1068,89980.01,9627.88
1492992000000,"2017-04-23",0.1104,0.1108,0.1022,0.1064,118999.89,12559.13
1493078400000,"2017-04-24",0.108,0.1118,0.106,0.1104,89190.96,9720.95
