"time","timeDate","close","high","low","open","volumefrom","volumeto"
1494460800000,"2017-05-10",0.06935,0.07644,0.06692,0.07313,223901.87,15949.01
1494547200000,"2017-05-11",0.06466,0.07861,0.06285,0.06935,393946.27,27129.27
1494633600000,"2017-05-12",0.06712,0.06712,0.06153,0.06466,322229.67,20670.28
1494720000000,"2017-05-13",0.06312,0.06732,0.05457,0.06712,417025.91,26578.17
1494806400000,"2017-05-14",0.05385,0.06557,0.05094,0.06312,420319.24,24270.7
1494892800000,"2017-05-15",0.05258,0.05616,0.05012,0.05385,414502.4,21726.14
1494979200000,"2017-05-16",0.0473,0.05311,0.04282,0.05258,542407.8,25469.9
1495065600000,"2017-05-17",0.06399,0.07092,0.04662,0.0473,505519.41,26584.53
1495152000000,"2017-05-18",0.1309,0.1373,0.06386,0.06399,371081.11,32921.61
1495238400000,"2017-05-19",0.1372,0.141,0.1129,0.1309,157817.25,20750.18
1495324800000,"2017-05-20",0.1228,0.1412,0.1102,0.1372,178126.14,22178.53
1495411200000,"2017-05-21",0.124,0.1402,0.1005,0.1228,238259.62,27980.15
1495497600000,"2017-05-22",0.1704,0.1707,0.1212,0.124,123444.38,17231.66
1495584000000,"2017-05-23",0.1931,0.1932,0.1704,0.1704,152995.06,27754.89
1495670400000,"2017-05-24",0.1814,0.2237,0.1814,0.1931,181009.94,36750.38
1495756800000,"2017-05-25",0.1704,0.2046,0.1636,0.1814,165639.39,30620.68
1495843200000,"2017-05-26",0.1305,0.1722,0.1208,0.1704,208190.92,29213.84
1495929600000,"2017-05-27",0.131,0.1383,0.1235,0.1305,185500.77,24258.39
1496016000000,"2017-05-28",0.1341,0.1464,0.1285,0.131,212721.59,28934.65
1496102400000,"2017-05-29",0.1252,0.1359,0.1232,0.1341,254413.7,32549.49
1496188800000,"2017-05-30",0.1149,0.1271,0.1119,0.1252,243661.92,29053.17
1496275200000,"2017-05-31",0.1133,0.1241,0.09971,0.1149,298434.97,33913.16
1496361600000,"2017-06-01",0.1583,0.159,0.1133,0.1133,234762.86,31397.05
1496448000000,"2017-06-02",0.1646,0.1716,0.1484,0.1583,236910.79,37971.04
