"time","timeDate","close","high","low","open","volumefrom","volumeto"
1490832000000,"2017-03-29",0.749,0.749,0.13,0.13,346.23,134.78
1490918400000,"2017-03-30",0.585,0.749,0.515,0.749,2865.61,1593.24
1491004800000,"2017-03-31",0.5945,0.605,0.5644,0.585,7483.44,4392.1
1491091200000,"2017-04-01",0.5821,0.6088,0.565,0.5945,19373.9,11386.64
1491177600000,"2017-04-02",0.5324,0.5821,0.5296,0.5821,20653.51,11551.02
1491264000000,"2017-04-03",0.4457,0.5324,0.4424,0.5324,24098.99,11983.42
1491350400000,"2017-04-04",0.4938,0.4976,0.425,0.4457,25563.95,11715.16
1491436800000,"2017-04-05",0.4412,0.5027,0.4303,0.4938,19231.47,9166.34
1491523200000,"2017-04-06",0.4447,0.4802,0.4391,0.4412,12889.96,5907.16
1491609600000,"2017-04-07",0.4806,0.4806,0.4328,0.4447,12865.73,5840.22
1491696000000,"2017-04-08",0.4728,0.5011,0.4629,0.4806,15008.01,7214.59
1491782400000,"2017-04-09",0.4549,0.4749,0.4332,0.4728,10628.33,4823.53
1491868800000,"2017-04-10",0.4012,0.4549,0.3875,0.4549,8506.58,3452.34
1491955200000,"2017-04-11",0.4301,0.4328,0.3795,0.4012,5339.59,2090.82
1492041600000,"2017-04-12",0.4446,0.4545,0.4173,0.4301,6927.21,3046.68
1492128000000,"2017-04-13",0.4227,0.4482,0.393,0.4446,10335.28,4258.1
1492214400000,"2017-04-14",0.4327,0.442,0.4184,0.4227,1709.66,740.46
1492300800000,"2017-04-15",0.4531,0.4545,0.4297,0.4327,971.38,434.14
1492387200000,"2017-04-16",0.4677,0.4844,0.4379,0.4531,21603.56,9911.24
1492473600000,"2017-04-17",0.4838,0.4838,0.4611,0.4677,10163.04,4805.69
1492560000000,"2017-04-18",0.4356,0.5009,0.4309,0.4838,21350.99,10011.76
1492646400000,"2017-04-19",0.4243,0.4551,0.4187,0.4356,18416.51,7980.14
1492732800000,"2017-04-20",0.4572,0.4869,0.3983,0.4243,18172.91,8141.56
1492819200000,"2017-04-21",0.4573,0.4613,0.4374,0.4572,15575.24,7038.44
1492905600000,"2017-04-22",0.4684,0.4926,0.4573,0.4573,24631.21,11626.33
1492992000000,"2017-04-23",0.4531,0.4746,0.4362,0.4684,15433.13,7082.62
1493078400000,"2017-04-24",0.5224,0.5295,0.4339,0.4531,26317.87,12671.67
1493164800000,"2017-04-25",0.5775,0.5933,0.4833,0.5224,18209.14,9791.14
1493251200000,"2017-04-26",0.5696,0.5979,0.538,0.5775,17782.72,10098.51
1493337600000,"2017-04-27",0.5807,0.588,0.5437,0.5696,15094.91,8539.28
1493424000000,"2017-04-28",0.5413,0.5807,0.5159,0.5807,17701,9694.49
1493510400000,"2017-04-29",0.5453,0.597,0.538,0.5413,14609.46,8184.39
1493596800000,"2017-04-30",0.5108,0.5516,0.4839,0.5453,11247.1,5842.43
1493683200000,"2017-05-01",0.5438,0.5445,0.5077,0.5108,21618.12,11414.19
1493769600000,"2017-05-02",0.5569,0.5829,0.5014,0.5438,31780.41,17470.09
1493856000000,"2017-05-03",0.5512,0.6038,0.5148,0.5569,42906.3,24478.73
1493942400000,"2017-05-04",0.4967,0.5831,0.4768,0.5512,56038.85,30197.32
1494028800000,"2017-05-05",0.5062,0.5252,0.4637,0.4967,40174.82,19999.7
1494115200000,"2017-05-06",0.5184,0.5384,0.4777,0.5062,43956.25,22528.55
1494201600000,"2017-05-07",0.5699,0.5823,0.5095,0.5184,49061.77,26124.46
1494288000000,"2017-05-08",0.5407,0.5822,0.5205,0.5699,38077.86,20917.55
1494374400000,"2017-05-09",0.6943,0.7235,0.5315,0.5407,35209.76,21270.57
1494460800000,"2017-05-10",0.7943,0.8058,0.6734,0.6943,32687.21,24031.38
1494547200000,"2017-05-11",0.7391,0.8115,0.7214,0.7943,29221.7,22444.99
1494633600000,"2017-05-12",0.7698,0.7698,0.7236,0.7391,28006.92,20898.6
1494720000000,"2017-05-13",0.7227,0.7955,0.7131,0.7698,35020.29,26513.31
1494806400000,"2017-05-14",0.6927,0.726,0.6505,0.7227,35915.17,24879.39
1494892800000,"2017-05-15",0.7685,0.7888,0.6621,0.6927,33411.87,23872.43
1494979200000,"2017-05-16",0.7892,0.8001,0.7471,0.7685,32114.95,24880.6
1495065600000,"2017-05-17",0.8687,0.8805,0.7862,0.7892,24853.02,20727.39
1495152000000,"2017-05-18",1.05,1.33,0.8631,0.8687,26488.65,26959.2
1495238400000,"2017-05-19",1.06,1.12,1.03,1.05,29342.31,31376.57
1495324800000,"2017-05-20",1.02,1.13,1.01,1.06,21993.65,23166.1
1495411200000,"2017-05-21",1.19,1.31,0.9191,1.02,30195.62,30965.74
1495497600000,"2017-05-22",1.39,1.42,1.12,1.19,17091.51,21606.28
1495584000000,"2017-05-23",1.38,1.45,1.29,1.39,27721.43,38067.34
1495670400000,"2017-05-24",1.1,1.45,1.1,1.38,26380.98,34227.87
1495756800000,"2017-05-25",1.05,1.46,1.01,1.1,28789.98,34154.57
1495843200000,"2017-05-26",0.9827,1.07,0.012,1.05,38669.03,37696.15
1495929600000,"2017-05-27",1.03,1.09,0.9822,0.9827,33046.76,34010.81
1496016000000,"2017-05-28",1.1,1.14,1.01,1.03,27663.54,29546.87
1496102400000,"2017-05-29",1.05,1.18,1.01,1.1,25902.4,28666.43
1496188800000,"2017-05-30",1.09,1.1,0.8842,1.05,38970.23,38359.06
1496275200000,"2017-05-31",1.17,1.25,1.08,1.09,29290.58,33816.2
1496361600000,"2017-06-01",1.23,1.26,1.16,1.17,24324.07,29328.73
1496448000000,"2017-06-02",1.28,1.28,1.21,1.23,25381.46,31581
1496534400000,"2017-06-03",1.24,1.34,1.21,1.28,27163.75,34083.32
1496620800000,"2017-06-04",1.3,1.32,1.24,1.24,28200.54,36069.26
1496707200000,"2017-06-05",1.43,1.46,1.3,1.3,35094.03,48983.15
1496793600000,"2017-06-06",1.78,2.44,1.41,1.43,33852.72,57284.67
1496880000000,"2017-06-07",1.77,1.91,1.68,1.78,22787.67,40786.04
1496966400000,"2017-06-08",1.95,1.99,1.75,1.77,20295.38,38264.27
1497052800000,"2017-06-09",1.91,2.08,1.88,1.95,17728.17,35404.21
1497139200000,"2017-06-10",1.89,2,1.84,1.91,19553.43,37331.63
1497225600000,"2017-06-11",1.83,2,1.59,1.89,21272.89,38625.37
1497312000000,"2017-06-12",1.95,2.02,1.75,1.83,24119.08,45221.65
1497398400000,"2017-06-13",1.83,2.07,1.75,1.95,24959.13,48565.51
1497484800000,"2017-06-14",1.8,1.92,1.54,1.83,22354.37,39141.23
1497571200000,"2017-06-15",1.89,1.92,1.77,1.8,13503.44,25204
