"time","timeDate","close","high","low","open","volumefrom","volumeto"
1493596800000,"2017-04-30",2.59,2.81,2.09,2.09,1454.35,3695.66
1493683200000,"2017-05-01",2.59,2.94,2.43,2.59,5617.88,14955.47
1493769600000,"2017-05-02",2.44,2.75,2.44,2.59,9234.89,23922.24
1493856000000,"2017-05-03",2.15,2.45,2.06,2.44,8415.68,19195.83
1493942400000,"2017-05-04",2.77,2.84,2.15,2.15,11247.41,26177.79
1494028800000,"2017-05-05",3.12,3.13,2.59,2.77,7688.85,21635.33
1494115200000,"2017-05-06",2.86,3.26,2.85,3.12,7028.26,21781.82
1494201600000,"2017-05-07",2.74,2.88,2.62,2.86,8182.27,22708.81
1494288000000,"2017-05-08",2.41,2.88,2.17,2.74,8535.17,21095.45
1494374400000,"2017-05-09",2.36,2.5,2.2,2.41,8054.25,19434.99
1494460800000,"2017-05-10",2.4,2.55,2.25,2.36,11560.19,27900.53
1494547200000,"2017-05-11",2.61,2.62,2.4,2.4,9512.56,23818.7
1494633600000,"2017-05-12",2.64,2.81,2.47,2.61,10110.35,26602.43
1494720000000,"2017-05-13",2.51,2.72,2.5,2.64,9401.15,24562.41
1494806400000,"2017-05-14",2.6,2.72,2.4,2.51,8466.94,21315.26
1494892800000,"2017-05-15",2.58,2.69,2.54,2.6,7601.94,19744.78
1494979200000,"2017-05-16",2.74,2.74,2.2,2.58,8176.67,20806.3
1495065600000,"2017-05-17",2.99,3.06,2.6,2.74,7577.46,21429.06
1495152000000,"2017-05-18",2.69,3.17,2.61,2.99,10380.14,29330.16
1495238400000,"2017-05-19",2.54,2.76,2.54,2.69,9606.08,25796.58
1495324800000,"2017-05-20",2.61,2.69,2.52,2.54,8254.74,21574.9
1495411200000,"2017-05-21",2.62,2.82,2.47,2.61,8098.14,21527.87
1495497600000,"2017-05-22",2.9,2.94,2.53,2.62,6630.87,18101.01
1495584000000,"2017-05-23",3.27,3.45,2.67,2.9,12243.5,36841.11
1495670400000,"2017-05-24",2.8,3.63,2.37,3.27,10099.73,32538.07
1495756800000,"2017-05-25",2.75,3.25,2.63,2.8,10226.51,30568.38
1495843200000,"2017-05-26",2.32,2.78,2.15,2.75,10677.54,26304.94
1495929600000,"2017-05-27",2.56,2.74,2.32,2.32,10372.7,26307.61
1496016000000,"2017-05-28",2.93,2.99,2.5,2.56,10696.12,28929.3
1496102400000,"2017-05-29",2.65,3.14,2.65,2.93,11059.23,31933.48
1496188800000,"2017-05-30",2.54,2.66,2.4,2.65,11225.73,28078.93
1496275200000,"2017-05-31",2.68,2.69,2.36,2.54,10521.06,26262.67
1496361600000,"2017-06-01",2.77,2.87,2.63,2.68,10150.54,27630.94
1496448000000,"2017-06-02",3.42,3.44,2.69,2.77,10488.85,30784.36
1496534400000,"2017-06-03",3.36,3.49,3.3,3.42,10094.67,34219.33
1496620800000,"2017-06-04",3.6,3.63,3.32,3.36,8881.49,30861.1
1496707200000,"2017-06-05",3.74,3.84,3.5,3.6,9358.1,34503.21
1496793600000,"2017-06-06",3.82,3.9,3.63,3.74,10024.28,37804.22
1496880000000,"2017-06-07",4.28,4.3,3.79,3.82,10285.24,41376.85
