"time","timeDate","close","high","low","open","volumefrom","volumeto"
1490918400000,"2017-03-30",33.18,33.64,29.09,29.7,4.89,153.04
1491004800000,"2017-03-31",34.12,34.6,32.53,33.18,69.66,2316.08
1491091200000,"2017-04-01",36.99,37.62,33.78,34.12,292.89,10421.52
1491177600000,"2017-04-02",35.57,37.46,35.12,36.99,132.23,4788.04
1491264000000,"2017-04-03",35.04,35.57,33.27,35.57,85.4,2948.41
1491350400000,"2017-04-04",33.51,35.38,32.03,35.04,82.38,2776.69
1491436800000,"2017-04-05",33.68,34.12,32.56,33.51,4.38,145.29
1491523200000,"2017-04-06",33.42,33.98,33.06,33.68,7.7,258.31
1491609600000,"2017-04-07",33.86,34.21,32.76,33.42,53.21,1776.56
1491696000000,"2017-04-08",33.01,34.08,32.62,33.86,35.19,1175.01
1491782400000,"2017-04-09",30.46,33.3,28.09,33.01,51.69,1567.66
1491868800000,"2017-04-10",27.28,32.33,26.76,30.46,273.31,7672.35
1491955200000,"2017-04-11",28.71,29.63,26.64,27.28,218.42,6211.98
1492041600000,"2017-04-12",28.12,28.94,27.36,28.71,136.61,3837.53
1492128000000,"2017-04-13",28.48,28.94,26.64,28.12,29.58,826.81
1492214400000,"2017-04-14",28.86,29.35,28.37,28.48,38.81,1117.18
1492300800000,"2017-04-15",29.99,30.39,28.86,28.86,179.36,5248.9
1492387200000,"2017-04-16",30.17,30.39,29.61,29.99,14.13,423.63
1492473600000,"2017-04-17",29.07,31,27.91,30.17,21.61,629.55
1492560000000,"2017-04-18",28.09,29.69,27.7,29.07,270.96,7688.09
1492646400000,"2017-04-19",27.71,28.4,26.52,28.09,325.39,8916.01
1492732800000,"2017-04-20",32.46,32.92,27.59,27.71,290.14,8908.06
1492819200000,"2017-04-21",31.61,32.81,31.17,32.46,318.18,10152.56
1492905600000,"2017-04-22",31.96,32.35,30.84,31.61,274.07,8710.17
1492992000000,"2017-04-23",32.51,32.7,30.82,31.96,366.17,11703.7
1493078400000,"2017-04-24",32.61,33.21,31.55,32.51,233.36,7553.81
1493164800000,"2017-04-25",34.52,34.69,32.36,32.61,263.62,8922.31
1493251200000,"2017-04-26",35.07,36.34,34.33,34.52,181.23,6313.96
1493337600000,"2017-04-27",37.06,37.11,34.27,35.07,153.96,5403.67
1493424000000,"2017-04-28",38.3,38.69,34.16,37.06,194.79,7150.54
1493510400000,"2017-04-29",40.37,40.96,37.93,38.3,187.48,7362.53
1493596800000,"2017-04-30",39.17,41.68,36.93,40.37,215.15,8474.72
1493683200000,"2017-05-01",40.42,41.72,36.61,39.17,386.7,15278.19
1493769600000,"2017-05-02",43.97,44.21,39.58,40.42,559.67,23727.09
1493856000000,"2017-05-03",45.98,46.89,43.64,43.97,390.92,17556.29
1493942400000,"2017-05-04",41.72,47.27,41.56,45.98,563.73,25249.3
1494028800000,"2017-05-05",38.82,43.13,38.82,41.72,545.05,22870.56
1494115200000,"2017-05-06",41.44,43.08,38.49,38.82,697.88,27991.43
1494201600000,"2017-05-07",38.62,41.75,38.19,41.44,626.76,24990.95
