"time","timeDate","close","high","low","open","volumefrom","volumeto"
1497398400000,"2017-06-13",2.11,3.5,2.08,2.32,20711.35,50773.24
1497484800000,"2017-06-14",2.06,2.17,1.66,2.11,26457.23,50500.38
1497571200000,"2017-06-15",2.13,2.41,2.01,2.06,20665.92,45282.5
1497657600000,"2017-06-16",2.35,2.39,2.03,2.13,18892.96,41992.14
1497744000000,"2017-06-17",2.2,2.41,2.04,2.35,20614.49,45915.12
1497830400000,"2017-06-18",3.14,4.5,2.16,2.2,23354.58,53148.22
1497916800000,"2017-06-19",2.88,4.4,2.36,3.14,27275.61,89214.72
1498003200000,"2017-06-20",2.03,2.95,1.88,2.88,32783.01,78745.35
1498089600000,"2017-06-21",2.12,2.52,2.01,2.03,28633.05,62617.29
1498176000000,"2017-06-22",2.26,2.28,2.02,2.12,25431.95,54292.8
1498262400000,"2017-06-23",2.13,2.44,2.02,2.26,24175.56,54871.71
1498348800000,"2017-06-24",1.81,2.22,1.69,2.13,30259.13,60682.25
1498435200000,"2017-06-25",1.61,1.94,1.36,1.81,25030.06,42114.45
1498521600000,"2017-06-26",1.85,1.85,1.43,1.61,26322.56,42499.82
1498608000000,"2017-06-27",1.76,1.87,1.66,1.85,23117.46,40800.19
1498694400000,"2017-06-28",1.67,1.82,1.67,1.76,31265.62,54698.83
1498780800000,"2017-06-29",1.43,1.71,1.42,1.67,28820.14,46543.65
1498867200000,"2017-06-30",1.33,1.51,0.62,1.43,26820.03,38431.97
1498953600000,"2017-07-01",1.32,1.4,1.18,1.33,31929.28,41798.08
1499040000000,"2017-07-02",1.34,1.51,1.26,1.32,28202.3,38449.79
1499126400000,"2017-07-03",1.31,1.45,1.28,1.34,23872.44,33001.47
1499212800000,"2017-07-04",1.26,1.34,1.21,1.31,28366.61,35699.59
1499299200000,"2017-07-05",1.24,1.26,1.17,1.26,14112.28,17344.8
1499385600000,"2017-07-06",1.02,1.24,1.02,1.24,17621.78,19204.26
1499472000000,"2017-07-07",1.01,1.06,0.9878,1.02,32517.97,33025.41
1499558400000,"2017-07-08",0.7962,1.03,0.7421,1.01,44345.17,40287.99
1499644800000,"2017-07-09",0.5943,0.8344,0.5675,0.7962,60311.41,41685.03
1499731200000,"2017-07-10",0.5615,0.6698,0.4902,0.5943,59129.28,33230.95
1499817600000,"2017-07-11",0.5972,0.6233,0.5256,0.5615,37264.73,21749.24
1499904000000,"2017-07-12",0.7278,0.7642,0.5972,0.5972,42551.67,30743.07
1499990400000,"2017-07-13",0.6212,0.7284,0.6135,0.7278,44073.26,29921.34
1500076800000,"2017-07-14",0.5129,0.6286,0.5129,0.6212,51020.21,29396.14
1500163200000,"2017-07-15",0.4729,0.5135,0.4309,0.5129,60595.56,28713.04
1500249600000,"2017-07-16",0.5473,0.5986,0.4729,0.4729,59471.01,30778.02
1500336000000,"2017-07-17",0.6841,0.7278,0.5398,0.5473,57535.22,35920.39
1500422400000,"2017-07-18",0.5741,0.6928,0.5729,0.6841,53121.39,33705.21
1500508800000,"2017-07-19",0.6795,0.7237,0.5741,0.5741,57815.15,37951.59
1500595200000,"2017-07-20",0.7088,0.7288,0.6603,0.6795,57531.37,40179.64
1500681600000,"2017-07-21",0.8703,0.8737,0.7029,0.7088,53718.34,41001.4
1500768000000,"2017-07-22",0.9887,1.1,0.8415,0.8703,53084.08,50300.62
1500854400000,"2017-07-23",0.9649,1.03,0.9165,0.9887,38705.03,37200.61
1500940800000,"2017-07-24",0.7385,0.9769,0.7331,0.9649,44230.52,37619.32
1501027200000,"2017-07-25",0.8064,0.8092,0.7328,0.7422,42850.58,32467.85
1501113600000,"2017-07-26",0.878,0.8893,0.8064,0.8064,39867.43,33897.41
1501200000000,"2017-07-27",0.7987,0.882,0.7954,0.878,37950.39,31482.86
1501286400000,"2017-07-28",0.7781,0.7987,0.7324,0.7987,43863.56,33139.01
1501372800000,"2017-07-29",0.7436,0.7869,0.7383,0.7781,38986.71,29296.72
1501459200000,"2017-07-30",0.7721,0.7745,0.7349,0.7436,39898.89,30070.19
1501545600000,"2017-07-31",0.8536,0.8536,0.7454,0.7721,43025.51,34186.18
1501632000000,"2017-08-01",0.8976,0.9327,0.8513,0.8536,39048.32,35161.64
1501718400000,"2017-08-02",1.15,1.16,0.8936,0.8976,38022.82,38280.3
1501804800000,"2017-08-03",1.26,1.44,1.14,1.15,39543.41,51904.78
1501891200000,"2017-08-04",1.48,1.55,1.21,1.26,37720.58,50211.85
1501977600000,"2017-08-05",1.55,1.76,1.48,1.48,31212.67,50895.99
1502064000000,"2017-08-06",1.55,1.63,1.5,1.55,28560.43,44372.36
1502150400000,"2017-08-07",1.55,1.56,1.33,1.55,32958.58,47944.02
1502236800000,"2017-08-08",1.47,1.62,1.41,1.55,31190.29,46992.29
1502323200000,"2017-08-09",1.47,1.56,1.34,1.47,36454.94,53917.04
1502409600000,"2017-08-10",1.89,1.9,1.37,1.47,44297.48,66842.73
