"time","timeDate","close","high","low","open","volumefrom","volumeto"
1497398400000,"2017-06-13",0.2033,0.4951,0.1798,0.4951,283084.78,62328.85
1497484800000,"2017-06-14",0.1593,0.2201,0.1506,0.2033,371022.69,66071.61
1497571200000,"2017-06-15",0.1265,0.1836,0.1265,0.1593,332643.78,52870.39
1497657600000,"2017-06-16",0.1465,0.154,0.1211,0.1265,391353.67,54097.9
1497744000000,"2017-06-17",0.2498,0.285,0.131,0.1465,415107.38,72675.02
1497830400000,"2017-06-18",0.453,0.79,0.2498,0.2498,306754.24,115939.32
1497916800000,"2017-06-19",0.4294,0.5136,0.3303,0.453,184820.12,74014.23
1498003200000,"2017-06-20",0.2972,0.4314,0.2864,0.4294,151205.33,55611.84
1498089600000,"2017-06-21",0.2984,0.3066,0.2656,0.2972,199916.39,55331.81
1498176000000,"2017-06-22",0.3251,0.3558,0.296,0.2984,165186.95,53220.88
1498262400000,"2017-06-23",0.2691,0.327,0.2674,0.3251,137511.57,41321.38
1498348800000,"2017-06-24",0.2081,0.2811,0.2065,0.2691,173104.94,44526.53
1498435200000,"2017-06-25",0.2019,0.2267,0.1745,0.2081,188742.88,38841.82
1498521600000,"2017-06-26",0.2012,0.2154,0.1668,0.2019,185483.41,35754.84
1498608000000,"2017-06-27",0.1974,0.2066,0.19,0.2012,203336.77,40571.2
1498694400000,"2017-06-28",0.1767,0.1982,0.1758,0.1974,209787.15,38840.88
1498780800000,"2017-06-29",0.1526,0.1901,0.1489,0.1767,273009.96,46000.76
1498867200000,"2017-06-30",0.1753,0.1998,0.1439,0.1526,282975.26,46812.91
1498953600000,"2017-07-01",0.2552,0.2932,0.1681,0.1753,226582.14,47963.47
1499040000000,"2017-07-02",0.2459,0.2734,0.2299,0.2552,165633.48,41840.5
1499126400000,"2017-07-03",0.2039,0.2556,0.2036,0.2459,164997.5,37518.79
1499212800000,"2017-07-04",0.2174,0.2243,0.1985,0.2039,155029.26,32467.46
1499299200000,"2017-07-05",0.221,0.2221,0.2055,0.2174,95326.82,20695.48
1499385600000,"2017-07-06",0.1787,0.2237,0.1779,0.221,135960.95,27447.53
1499472000000,"2017-07-07",0.179,0.1827,0.1678,0.1787,194343.37,34156.22
1499558400000,"2017-07-08",0.1665,0.1809,0.1597,0.179,210444.62,36672.3
1499644800000,"2017-07-09",0.1315,0.167,0.1261,0.1665,266309.96,39099.75
1499731200000,"2017-07-10",0.1159,0.1315,0.1088,0.1315,272683.07,32835.61
1499817600000,"2017-07-11",0.1238,0.1265,0.1046,0.1159,214611.02,24923.21
1499904000000,"2017-07-12",0.1257,0.1388,0.1172,0.1238,239400.46,30714.71
1499990400000,"2017-07-13",0.1079,0.1263,0.1061,0.1257,295433.71,34174.5
1500076800000,"2017-07-14",0.101,0.1079,0.09729,0.1079,252792.38,25695.38
1500163200000,"2017-07-15",0.09143,0.1014,0.08251,0.101,304564.73,28269.07
1500249600000,"2017-07-16",0.1141,0.1141,0.09142,0.09143,297647.41,30169.72
1500336000000,"2017-07-17",0.12,0.1287,0.1078,0.1141,300805.9,34781.05
1500422400000,"2017-07-18",0.1203,0.1267,0.1122,0.12,310248.93,36878.66
1500508800000,"2017-07-19",0.164,0.169,0.1203,0.1203,259875.57,35841.27
1500595200000,"2017-07-20",0.1646,0.1666,0.1566,0.164,191400.97,30932.3
1500681600000,"2017-07-21",0.1937,0.1959,0.1621,0.1646,237241.28,41827.98
