"time","timeDate","close","high","low","open","volumefrom","volumeto"
1491177600000,"2017-04-02",11.04,11.27,10.53,10.53,8.72,95.73
1491264000000,"2017-04-03",11.33,12.03,11.04,11.04,443.83,5039.45
1491350400000,"2017-04-04",11.14,11.51,10.76,11.33,280.99,3098.49
1491436800000,"2017-04-05",10.26,11.14,9.67,11.14,232.04,2450.38
1491523200000,"2017-04-06",9.97,10.38,9.87,10.26,31.41,318.69
1491609600000,"2017-04-07",9.93,10.1,9.88,9.97,70.8,709.2
1491696000000,"2017-04-08",10.21,10.6,9.9,9.93,23.48,238.81
1491782400000,"2017-04-09",10.2,10.38,10.03,10.21,51.2,520.9
1491868800000,"2017-04-10",10.22,10.67,10.1,10.2,153.51,1584.86
1491955200000,"2017-04-11",10.58,10.64,10.1,10.22,33.97,347.41
1492041600000,"2017-04-12",10.86,11.05,10.58,10.58,19.75,214.68
1492128000000,"2017-04-13",11.2,11.2,10.31,10.86,20.43,218.44
1492214400000,"2017-04-14",11.5,11.64,11.06,11.2,13.27,150.61
1492300800000,"2017-04-15",12,12.35,11.45,11.5,15.01,179.9
1492387200000,"2017-04-16",12.35,12.83,11.91,12,24.79,305.67
1492473600000,"2017-04-17",13.23,13.31,12.1,12.35,19.95,251.82
1492560000000,"2017-04-18",12.61,13.74,12.56,13.23,334.65,4299.72
1492646400000,"2017-04-19",11.87,12.9,11.82,12.61,362.56,4494.12
1492732800000,"2017-04-20",12.19,12.39,11.81,11.87,124.44,1509.52
1492819200000,"2017-04-21",13.14,13.69,12,12.19,263.37,3356.66
1492905600000,"2017-04-22",12.77,13.76,12.61,13.14,795.87,10380
1492992000000,"2017-04-23",14.76,15.93,12.65,12.77,667.84,8857.69
1493078400000,"2017-04-24",14.34,16.48,14.26,14.76,552.61,8231.69
1493164800000,"2017-04-25",14.11,14.88,14.03,14.34,473.31,6862.48
1493251200000,"2017-04-26",15.03,15.19,14.07,14.11,563.79,8214.63
1493337600000,"2017-04-27",15.96,16.72,14.16,15.03,659.5,10080.26
1493424000000,"2017-04-28",18.44,18.44,15.47,15.96,460.31,7660.19
1493510400000,"2017-04-29",18.05,20.05,17.24,18.44,428.58,7766.9
1493596800000,"2017-04-30",17.09,21.78,17.09,18.05,420.61,7793.88
1493683200000,"2017-05-01",17.57,18.92,16.74,17.09,799.65,14205.23
1493769600000,"2017-05-02",17.77,18.24,17.09,17.57,1420.97,25178.81
1493856000000,"2017-05-03",18.31,18.74,17.69,17.77,1451.64,26325.28
1493942400000,"2017-05-04",16.89,19.42,16.89,18.31,1270.03,23171.59
1494028800000,"2017-05-05",17.86,18.01,16.67,16.89,1215.41,21061.59
1494115200000,"2017-05-06",17.38,18.63,17.38,17.86,1327.89,23813.02
1494201600000,"2017-05-07",17.27,17.96,16.42,17.38,1406.61,24041.37
1494288000000,"2017-05-08",16.63,17.46,14.28,17.27,1526.87,24532.13
1494374400000,"2017-05-09",17.49,17.59,15.31,16.63,1383.67,23089.93
1494460800000,"2017-05-10",17.72,18.93,17,17.49,1595.16,28412.7
1494547200000,"2017-05-11",16.99,18.05,16.67,17.72,1350.95,23453.93
1494633600000,"2017-05-12",16.62,17.06,16.32,16.99,1260.27,21017.65
1494720000000,"2017-05-13",16.98,17.37,16.28,16.62,1567.21,26500.28
1494806400000,"2017-05-14",16.15,17.22,15.92,16.98,1346.74,22476.89
1494892800000,"2017-05-15",14.81,16.36,14.81,16.15,1377.71,21559.32
1494979200000,"2017-05-16",15.61,15.76,13.71,14.81,1642.82,24456.95
1495065600000,"2017-05-17",16.2,17.54,15.45,15.61,1171.64,19015.55
1495152000000,"2017-05-18",16.42,18.18,0.5,16.2,1515.16,24860.17
1495238400000,"2017-05-19",17.88,18.14,16.27,16.42,1435.1,24180.65
1495324800000,"2017-05-20",17.06,18.62,16.89,17.88,1358.11,23758.91
1495411200000,"2017-05-21",19.35,20.9,16.85,17.06,1618.93,30244.66
1495497600000,"2017-05-22",28.53,31.58,19.07,19.35,941.59,23445.74
1495584000000,"2017-05-23",26.46,30.67,26.46,28.53,1259.36,36636.94
1495670400000,"2017-05-24",23.72,30.42,2.57,26.46,1354.93,35397.58
1495756800000,"2017-05-25",20.85,26.31,20.59,23.72,1071.84,26159.46
1495843200000,"2017-05-26",19.38,21.13,16.48,20.85,1318.13,25618.27
1495929600000,"2017-05-27",19.11,22.25,18.54,19.38,1239.43,25569.95
1496016000000,"2017-05-28",19.97,20.79,19.11,19.11,1359,27033.64
1496102400000,"2017-05-29",20.64,23.31,19.88,19.97,1448.56,31408.81
1496188800000,"2017-05-30",21.28,21.84,18.68,20.64,1411.34,28666.82
1496275200000,"2017-05-31",22.78,24.11,20.72,21.28,1224.34,27684.29
1496361600000,"2017-06-01",24.16,24.95,22.61,22.78,1149.62,27205.02
1496448000000,"2017-06-02",25.72,25.77,23.83,24.16,1213.52,29561.53
1496534400000,"2017-06-03",28.33,28.47,25.19,25.72,1166.32,30743.79
1496620800000,"2017-06-04",30.58,31.39,28.27,28.33,1167.62,34951.28
1496707200000,"2017-06-05",32.77,33.16,29.95,30.58,1084.36,34119.04
1496793600000,"2017-06-06",33.47,38.46,32.56,32.77,1099.67,39427.06
1496880000000,"2017-06-07",33.89,35.53,32.79,33.47,1010.93,34492.05
1496966400000,"2017-06-08",36.8,36.88,33.73,33.89,1043.49,36840.72
1497052800000,"2017-06-09",32.02,36.8,30.97,36.8,997.76,32737.84
1497139200000,"2017-06-10",33.99,34.3,31.94,32.02,998.54,32993.87
1497225600000,"2017-06-11",30.02,34.18,27.2,34.03,1105.54,34560.62
1497312000000,"2017-06-12",32.85,33.82,29.99,30.02,936.66,30046.7
1497398400000,"2017-06-13",28.97,35.62,28.28,32.85,1046.7,33937.94
1497484800000,"2017-06-14",28.25,30.97,25.35,28.97,1153.27,32033.19
1497571200000,"2017-06-15",28.1,29.76,27.49,28.25,943.29,27106.9
1497657600000,"2017-06-16",31.47,31.62,27.92,28.1,932.77,27672.84
1497744000000,"2017-06-17",29.36,32.26,29.13,31.47,1276.56,38739.73
1497830400000,"2017-06-18",32.15,32.46,29.36,29.36,930.3,29016.27
1497916800000,"2017-06-19",31.78,32.45,31.51,32.15,1173.64,37363.94
1498003200000,"2017-06-20",29.3,32.37,28.5,31.78,1663.54,50498
1498089600000,"2017-06-21",30.77,31.32,29.26,29.3,1633.23,49347.88
1498176000000,"2017-06-22",30.64,32.35,30.19,30.77,1657.58,51568.88
1498262400000,"2017-06-23",28.66,31.09,28.53,30.64,1488.39,44983.33
1498348800000,"2017-06-24",26.05,29.36,25.43,28.66,1811.78,51614.63
1498435200000,"2017-06-25",24.39,27.11,21.04,26.05,1730.18,42067.76
1498521600000,"2017-06-26",24.93,25.08,21.16,24.39,1692.27,39533.01
1498608000000,"2017-06-27",27.57,28.68,24.86,24.93,1600.42,42123.07
1498694400000,"2017-06-28",26.12,28.08,26.07,27.57,1503.25,40635.97
1498780800000,"2017-06-29",28.1,29.9,25.97,26.12,1526.2,41918.64
1498867200000,"2017-06-30",23.83,28.22,23.49,28.1,1370.25,35893.27
1498953600000,"2017-07-01",26.01,26.24,23.13,23.83,1765.66,42663.63
1499040000000,"2017-07-02",28.64,28.71,25.08,26.01,1476.67,39141.35
1499126400000,"2017-07-03",27.26,29.13,26.79,28.64,1351.33,37578.42
1499212800000,"2017-07-04",26.64,27.45,25.98,27.26,1596.35,42624.73
1499299200000,"2017-07-05",27.31,27.45,26.35,26.64,747.36,20136.44
1499385600000,"2017-07-06",21.96,27.91,21.96,27.31,1428.94,37024.07
1499472000000,"2017-07-07",22.79,23.61,21.11,21.96,1784.32,40162.47
1499558400000,"2017-07-08",22.22,24.69,22.16,22.79,1761.92,40671.02
1499644800000,"2017-07-09",16.4,22.35,16.08,22.22,1964.96,39087.39
1499731200000,"2017-07-10",16.49,17.41,14.08,16.4,1784.47,29231.74
1499817600000,"2017-07-11",18.17,18.38,15.97,16.49,1372.14,23721.51
1499904000000,"2017-07-12",20.53,21.5,18.17,18.17,1077.53,22317.93
1499990400000,"2017-07-13",19.11,20.83,18.53,20.53,1671.53,33171.29
