"time","timeDate","close","high","low","open","volumefrom","volumeto"
1492646400000,"2017-04-19",0.301,0.3572,0.254,0.2877,21674.62,6213.48
1492732800000,"2017-04-20",0.3313,0.3673,0.2914,0.301,16398.54,5296.31
1492819200000,"2017-04-21",0.3754,0.3805,0.3198,0.3313,15446.27,5337.62
1492905600000,"2017-04-22",0.3098,0.3857,0.3067,0.3754,20340.74,6960.18
1492992000000,"2017-04-23",0.3088,0.3322,0.254,0.3098,15502.7,4724.76
1493078400000,"2017-04-24",0.3289,0.3378,0.2739,0.3088,22198.59,6877.61
1493164800000,"2017-04-25",0.3473,0.3535,0.3202,0.3289,14204.1,4752.48
1493251200000,"2017-04-26",0.5261,0.5287,0.3453,0.3473,18988.71,8086.38
1493337600000,"2017-04-27",0.5292,0.5381,0.4751,0.5261,18488.41,9317.26
1493424000000,"2017-04-28",0.5693,0.576,0.4751,0.5292,19002.15,9767.11
1493510400000,"2017-04-29",0.7082,0.7082,0.5616,0.5693,13745.98,8742.04
1493596800000,"2017-04-30",0.6038,0.7185,0.5795,0.7082,20882.52,13600.05
1493683200000,"2017-05-01",0.6551,0.7164,0.5951,0.6038,51608.31,33083.43
1493769600000,"2017-05-02",0.7652,0.7652,0.6432,0.6551,31025.2,21544.18
1493856000000,"2017-05-03",0.808,0.8205,0.7381,0.7652,37425.8,29331.77
1493942400000,"2017-05-04",0.6872,0.8153,0.6282,0.808,47080.67,35777.24
1494028800000,"2017-05-05",0.6701,0.7028,0.6301,0.6872,53418.67,35935.05
1494115200000,"2017-05-06",0.6416,0.6702,0.6127,0.6701,51104.59,32585.21
1494201600000,"2017-05-07",0.5654,0.6594,0.5178,0.6416,50058.92,29673.2
1494288000000,"2017-05-08",0.5222,0.5862,0.4526,0.5654,56957.77,29784.92
1494374400000,"2017-05-09",0.5945,0.605,0.4822,0.5222,58247.63,31545.71
1494460800000,"2017-05-10",0.5301,0.5945,0.4833,0.5945,61088.55,33431.91
1494547200000,"2017-05-11",0.5183,0.5436,0.5025,0.5301,47332.48,24732.85
1494633600000,"2017-05-12",0.5136,0.5474,0.4823,0.5183,47022.29,24365.49
1494720000000,"2017-05-13",0.4848,0.5207,0.4733,0.5136,52957.43,26025.95
1494806400000,"2017-05-14",0.4915,0.4965,0.4301,0.4848,63560.92,29591.33
1494892800000,"2017-05-15",0.4948,0.4999,0.4613,0.4915,53290.79,25660.48
1494979200000,"2017-05-16",0.4733,0.5034,0.4657,0.4948,61368.62,29751.75
1495065600000,"2017-05-17",0.4375,0.5192,0.4293,0.4733,88318.25,41991.2
1495152000000,"2017-05-18",0.4492,0.4744,0.4145,0.4375,104495.01,46166.82
1495238400000,"2017-05-19",0.4719,0.4954,0.443,0.4492,80112.05,38136.9
1495324800000,"2017-05-20",0.4157,0.4896,0.402,0.4719,99012.68,44690.79
1495411200000,"2017-05-21",0.4283,0.4998,0.3846,0.4157,110532.61,47540.2
1495497600000,"2017-05-22",0.4753,0.482,0.4157,0.4283,74599.14,33399.8
1495584000000,"2017-05-23",0.6338,0.6748,0.4539,0.4753,128488.35,67778.41
1495670400000,"2017-05-24",0.5862,0.7337,0.5744,0.6338,76560.33,47939.12
1495756800000,"2017-05-25",0.5177,0.6435,0.497,0.5862,57036.12,32757.71
1495843200000,"2017-05-26",0.4426,0.5177,0.378,0.5177,75026.01,33936.19
1495929600000,"2017-05-27",0.4329,0.5177,0.4223,0.4426,77014.77,34814.38
1496016000000,"2017-05-28",0.4689,0.5168,0.4194,0.4329,84161.03,38538.86
1496102400000,"2017-05-29",0.5136,0.5387,0.466,0.4689,63506.47,31810.02
1496188800000,"2017-05-30",0.5626,0.6167,0.4246,0.5136,88899.16,44068.39
1496275200000,"2017-05-31",0.6309,0.6397,0.5082,0.5626,66273.35,36738.04
1496361600000,"2017-06-01",0.815,0.827,0.602,0.6309,54702.36,37276.87
1496448000000,"2017-06-02",0.8398,0.8968,0.7998,0.815,45047.24,37740.04
1496534400000,"2017-06-03",1.05,1.05,0.8197,0.8398,43384.75,39022.29
1496620800000,"2017-06-04",1.1,1.11,0.9655,1.05,38810.61,39668.11
1496707200000,"2017-06-05",1.19,1.2,1.02,1.1,45640.39,50563.73
1496793600000,"2017-06-06",1.12,1.26,1.12,1.19,32942.67,39991.87
1496880000000,"2017-06-07",1.02,1.12,0.9324,1.12,41397.41,42784.2
1496966400000,"2017-06-08",0.9023,1.06,0.8951,1.02,36804.46,35860.16
1497052800000,"2017-06-09",0.801,0.9055,0.7459,0.9023,46577.69,38703.72
1497139200000,"2017-06-10",0.7382,0.801,0.7242,0.801,66541.89,50060.93
1497225600000,"2017-06-11",0.8143,0.8293,0.6176,0.7382,69812.96,51179.25
1497312000000,"2017-06-12",0.7257,0.8639,0.6959,0.8143,82751.32,62408.32
