"time","timeDate","close","high","low","open","volumefrom","volumeto"
1497398400000,"2017-06-13",0.1991,223,0.1934,223,154101.59,33876.87
1497484800000,"2017-06-14",0.2105,0.2208,0.1774,0.1991,156672.5,31258.89
1497571200000,"2017-06-15",0.2089,0.2148,0.2006,0.2105,161590.98,33710.15
1497657600000,"2017-06-16",0.2297,0.2297,0.2056,0.2089,137060.46,29457.18
1497744000000,"2017-06-17",0.2115,0.2352,0.2088,0.2297,180887.56,39982.55
1497830400000,"2017-06-18",0.2099,0.2303,0.2062,0.2115,182750.85,38976.19
1497916800000,"2017-06-19",0.2095,0.2176,0.2044,0.2099,250660.58,52422.49
1498003200000,"2017-06-20",0.1995,0.2172,0.1957,0.2095,265010.14,55066.83
1498089600000,"2017-06-21",0.2016,0.2036,0.1941,0.1995,261305.01,51888.78
1498176000000,"2017-06-22",0.2101,0.2126,0.1987,0.2016,218553.03,44730.48
1498262400000,"2017-06-23",0.2135,0.2313,0.2091,0.2101,216946.62,48072.73
1498348800000,"2017-06-24",0.1868,0.2139,0.179,0.2135,194455.66,39012.08
1498435200000,"2017-06-25",0.1648,0.1974,0.1517,0.1868,201405.02,35512.73
1498521600000,"2017-06-26",0.1947,0.1947,0.1567,0.1648,214593.95,36549.68
1498608000000,"2017-06-27",0.2003,0.2038,0.1917,0.1947,211921.32,41746.74
1498694400000,"2017-06-28",0.177,0.2012,0.177,0.2003,242803.4,45885.86
1498780800000,"2017-06-29",0.17,0.1872,0.1686,0.177,261439.24,46602.1
1498867200000,"2017-06-30",0.1532,0.17,0.1505,0.17,214111.66,34068.08
1498953600000,"2017-07-01",0.1744,0.181,0.1526,0.1532,203840.4,34154.54
1499040000000,"2017-07-02",0.183,0.1897,0.1614,0.1744,213664.82,37281.61
1499126400000,"2017-07-03",0.1805,0.1884,0.1756,0.183,177696.4,32548.38
1499212800000,"2017-07-04",0.1795,0.2024,0.1761,0.1805,206477.22,37744.93
1499299200000,"2017-07-05",0.1713,0.1811,0.1664,0.1795,104000.92,18258.82
1499385600000,"2017-07-06",0.1391,0.1713,0.1388,0.1713,231180.62,34382.21
1499472000000,"2017-07-07",0.1572,0.1589,0.1363,0.1391,218974.37,32503.89
1499558400000,"2017-07-08",0.1522,0.1604,0.15,0.1572,231102.33,35826.04
1499644800000,"2017-07-09",0.1122,0.1522,0.1055,0.1522,252690.06,33748.61
1499731200000,"2017-07-10",0.1093,0.1269,0.1019,0.1122,311052.89,35728.39
1499817600000,"2017-07-11",0.1243,0.1265,0.1044,0.1093,231433.69,26340.69
1499904000000,"2017-07-12",0.1131,0.1286,0.1087,0.1243,246668.58,29178.45
1499990400000,"2017-07-13",0.09754,0.1134,0.09532,0.1131,322483.23,33140.88
1500076800000,"2017-07-14",0.09073,0.09897,0.08947,0.09754,268514.97,25134.55
1500163200000,"2017-07-15",0.08604,0.09756,0.0779,0.09073,335391.92,29545.49
1500249600000,"2017-07-16",0.1067,0.1072,0.08604,0.08604,285799.11,27624.52
1500336000000,"2017-07-17",0.1099,0.1265,0.1047,0.1067,315501.52,34847.62
1500422400000,"2017-07-18",0.1031,0.1115,0.1026,0.1099,361493.55,39022.16
1500508800000,"2017-07-19",0.1154,0.1192,0.1019,0.1031,307608.37,33786.01
1500595200000,"2017-07-20",0.1181,0.1275,0.1123,0.1154,295885.84,35455.66
1500681600000,"2017-07-21",0.1376,0.1386,0.1181,0.1181,284981.39,36635.27
1500768000000,"2017-07-22",0.148,0.15,0.1319,0.1376,272805.2,38106.61
1500854400000,"2017-07-23",0.1414,0.1487,0.1352,0.148,296254.13,41523.76
1500940800000,"2017-07-24",0.1135,0.143,0.1124,0.1414,276373.41,34853.85
1501027200000,"2017-07-25",0.1082,0.1148,0.1044,0.1135,277349.6,30169.13
1501113600000,"2017-07-26",0.1071,0.109,0.0973,0.1082,317910.13,32933.75
1501200000000,"2017-07-27",0.09122,0.1082,0.09122,0.1071,348343.33,34577.61
1501286400000,"2017-07-28",0.0944,0.09446,0.08659,0.09122,324247.95,29326.66
1501372800000,"2017-07-29",0.09445,0.1062,0.09241,0.0944,330524.74,32106.72
1501459200000,"2017-07-30",0.1016,0.102,0.09377,0.09445,322348.43,31073.48
1501545600000,"2017-07-31",0.1126,0.1133,0.09863,0.1016,321446.69,33754.08
1501632000000,"2017-08-01",0.1085,0.1128,0.1077,0.1126,305187.3,33658.09
1501718400000,"2017-08-02",0.1167,0.1169,0.1073,0.1085,317162.02,34615.34
1501804800000,"2017-08-03",0.136,0.1412,0.1167,0.1167,303689.48,38733.94
1501891200000,"2017-08-04",0.1407,0.1544,0.136,0.136,305238.01,44097.39
1501977600000,"2017-08-05",0.1395,0.151,0.1391,0.1407,265718.27,38214.74
1502064000000,"2017-08-06",0.1432,0.1453,0.136,0.1395,282047.47,39860.49
1502150400000,"2017-08-07",0.1495,0.1521,0.137,0.1432,249874.63,35925.62
1502236800000,"2017-08-08",0.1493,0.1533,0.1435,0.1495,294424.69,43557.02
1502323200000,"2017-08-09",0.1418,0.1506,0.138,0.1493,355920.66,50807.77
