"time","timeDate","close","high","low","open","volumefrom","volumeto"
1498780800000,"2017-06-29",3.11,3.11,3.11,3.11,6.28,19.54
1498867200000,"2017-06-30",0.5136,3.11,0.4,3.11,37081.65,19557.8
1498953600000,"2017-07-01",0.5421,0.5697,0.4325,0.5136,86461.99,44447.83
1499040000000,"2017-07-02",0.8072,1.2,0.4517,0.5421,93857.23,53536.55
1499126400000,"2017-07-03",0.7848,0.9311,0.6775,0.8072,57380.91,47537.84
1499212800000,"2017-07-04",0.6551,0.7848,0.6405,0.7848,53151.02,37888.52
1499299200000,"2017-07-05",0.694,0.7186,0.6504,0.6551,33500.69,23271.36
1499385600000,"2017-07-06",0.5134,0.694,0.5133,0.694,44600.43,25152.14
1499472000000,"2017-07-07",0.5712,0.5923,0.4845,0.5134,76425.59,39638.11
1499558400000,"2017-07-08",0.4971,0.6164,0.4971,0.5712,62502.71,34983
1499644800000,"2017-07-09",0.4072,0.5102,0.3707,0.4971,91798.01,42074.06
1499731200000,"2017-07-10",0.4538,0.4574,0.3135,0.4072,116903.55,43966.8
1499817600000,"2017-07-11",0.5136,0.5333,0.4275,0.4538,66900.76,32326.59
1499904000000,"2017-07-12",0.4649,0.5136,0.4489,0.5136,69065.87,32373.77
1499990400000,"2017-07-13",0.4005,0.466,0.3988,0.4649,75481.46,33151.86
1500076800000,"2017-07-14",0.3506,0.4005,0.3465,0.4005,67625.14,24740.43
1500163200000,"2017-07-15",0.2976,0.3506,0.2735,0.3506,89337.32,27709.06
1500249600000,"2017-07-16",0.3815,0.3825,0.2976,0.2976,94934.2,30858.72
1500336000000,"2017-07-17",0.3894,0.4188,0.3578,0.3815,86632.43,33135.58
1500422400000,"2017-07-18",0.3661,0.4139,0.353,0.3894,88438.25,34272.32
1500508800000,"2017-07-19",0.516,0.6059,0.3627,0.3661,122457.73,53000.64
1500595200000,"2017-07-20",0.4779,0.5843,0.46,0.516,85899.14,44677.2
1500681600000,"2017-07-21",0.5239,0.5251,0.4676,0.4779,75533.94,37538.12
1500768000000,"2017-07-22",0.4876,0.526,0.4676,0.5239,78092.85,38384.93
1500854400000,"2017-07-23",0.4894,0.5019,0.4732,0.4876,79550.28,38417.67
1500940800000,"2017-07-24",0.3978,0.4894,0.3829,0.4894,93529.35,40705.37
1501027200000,"2017-07-25",0.4141,0.4157,0.38,0.3978,79569.58,31290.53
1501113600000,"2017-07-26",0.4035,0.4275,0.3793,0.4141,84360.39,33876.38
1501200000000,"2017-07-27",0.3788,0.4085,0.3704,0.4035,78522.44,30366.71
1501286400000,"2017-07-28",0.3675,0.3788,0.3464,0.3788,85463.27,30418.03
1501372800000,"2017-07-29",0.3813,0.4015,0.3626,0.3675,91949.11,34198.73
1501459200000,"2017-07-30",0.3683,0.383,0.3488,0.3813,90734.63,33070.72
1501545600000,"2017-07-31",0.3834,0.4054,0.3506,0.3683,100012.58,37797.43
1501632000000,"2017-08-01",0.4143,0.4286,0.3749,0.3834,90655.96,35669.95
1501718400000,"2017-08-02",0.399,0.4194,0.3951,0.4143,83184.57,34056.2
1501804800000,"2017-08-03",0.4162,0.4178,0.399,0.399,86716.21,35475.98
1501891200000,"2017-08-04",0.4026,0.4337,0.4007,0.4162,93755.53,39568.87
1501977600000,"2017-08-05",0.3935,0.4179,0.3921,0.4026,96819.55,39203.47
1502064000000,"2017-08-06",0.3568,0.3935,0.3402,0.3935,113685.02,42253.49
1502150400000,"2017-08-07",0.4026,0.4163,0.3552,0.3568,107912.65,41431.89
1502236800000,"2017-08-08",0.5113,0.5132,0.3951,0.4026,103220.09,43716.16
1502323200000,"2017-08-09",0.7274,0.7975,0.5113,0.5113,91799.19,57152.67
1502409600000,"2017-08-10",0.745,0.8155,0.6572,0.7274,72899.75,53809.79
1502496000000,"2017-08-11",1.73,2.48,0.7389,0.745,72009.89,118539.61
1502582400000,"2017-08-12",1.6,1.76,1.37,1.73,51003.4,78804.05
1502668800000,"2017-08-13",1.55,1.81,1.42,1.6,38811.04,61713.66
1502755200000,"2017-08-14",1.41,1.55,1.25,1.55,36643.52,50552.12
1502841600000,"2017-08-15",1.33,1.41,1.31,1.41,35759.83,48429.27
1502928000000,"2017-08-16",1.18,1.42,1.11,1.33,51601.35,62133.02
1503014400000,"2017-08-17",1.14,1.4,1.08,1.18,40800.57,49272.95
1503100800000,"2017-08-18",1.09,1.19,0.9796,1.14,43968.57,47469.67
1503187200000,"2017-08-19",1.1,1.14,0.9978,1.09,44139.33,47594.56
1503273600000,"2017-08-20",0.9691,1.1,0.9612,1.1,51288.66,51661.69
1503360000000,"2017-08-21",0.8768,0.972,0.7915,0.9691,52165.41,45478.89
1503446400000,"2017-08-22",0.9365,0.993,0.8768,0.8768,45352.79,42193.98
1503532800000,"2017-08-23",0.9502,0.9612,0.9234,0.9365,41312.22,38851.77
1503619200000,"2017-08-24",0.899,0.9541,0.8658,0.9502,36351.41,33094.8
1503705600000,"2017-08-25",0.8912,0.899,0.8912,0.899,2900.73,2596.55
1503792000000,"2017-08-26",0.9006,0.927,0.8667,0.8912,36783.35,32731.72
1503878400000,"2017-08-27",0.8575,0.907,0.8352,0.9006,46553.52,39989.14
1503964800000,"2017-08-28",1.04,1.34,0.834,0.8575,71716.92,71374.77
1504051200000,"2017-08-29",0.9813,1.14,0.892,1.04,75077.92,75116.89
1504137600000,"2017-08-30",1.02,1.1,0.9329,0.9813,72617.24,71474.54
1504224000000,"2017-08-31",0.9371,1.03,0.9357,1.02,47621.54,46343.42
1504310400000,"2017-09-01",0.7764,0.9371,0.7618,0.9371,60255.19,50577.04
1504396800000,"2017-09-02",0.7839,0.8303,0.7183,0.7764,65461.9,50971.4
1504483200000,"2017-09-03",0.62,0.7871,0.5353,0.7839,71509.41,46697.37
1504569600000,"2017-09-04",0.631,0.6616,0.5116,0.62,67371.87,39500.14
1504656000000,"2017-09-05",0.6443,0.6817,0.6216,0.631,63494.92,41241.24
1504742400000,"2017-09-06",0.74,0.7631,0.5489,0.6443,72154.04,46419.28
1504828800000,"2017-09-07",0.57,0.7456,0.5448,0.74,52457.01,33336.1
1504915200000,"2017-09-08",0.5647,0.58,0.553,0.57,57571.42,32539.33
1505001600000,"2017-09-09",0.5407,0.5773,0.4907,0.5647,48853.9,25716.22
1505088000000,"2017-09-10",0.5863,0.5902,0.5287,0.5407,59996.43,32614.14
1505174400000,"2017-09-11",0.5412,0.5863,0.5327,0.5863,57036.95,31935.45
1505260800000,"2017-09-12",0.4967,0.553,0.4695,0.5412,51917.89,26264.09
1505347200000,"2017-09-13",0.368,0.4967,0.3651,0.4967,60801.62,25614.52
1505433600000,"2017-09-14",0.4624,0.474,0.3,0.368,94463.8,35777.82
1505520000000,"2017-09-15",0.4284,0.4692,0.404,0.4624,67370.4,29284.54
