"time","timeDate","close","high","low","open","volumefrom","volumeto"
1494115200000,"2017-05-06",1.01,1.13,0.9655,1.08,10532.6,11150.85
1494201600000,"2017-05-07",1.36,1.56,0.8775,1.01,25864.86,30395.15
1494288000000,"2017-05-08",1.11,1.49,0.939,1.36,27288.73,30984.6
1494374400000,"2017-05-09",0.9034,1.11,0.8978,1.11,28258.05,27691.9
1494460800000,"2017-05-10",0.8908,0.9512,0.8368,0.9034,37031.51,33309.86
1494547200000,"2017-05-11",0.8588,0.9403,0.85,0.8908,27409.97,24297.84
1494633600000,"2017-05-12",0.9793,0.9793,0.8477,0.8588,30908.26,27712.44
1494720000000,"2017-05-13",0.8011,1.02,0.7961,0.9793,35220.8,32871.16
1494806400000,"2017-05-14",0.7764,0.883,0.7271,0.8011,47333.41,38643.23
1494892800000,"2017-05-15",0.6777,0.7969,0.6202,0.7764,42703.96,30049.45
1494979200000,"2017-05-16",0.6646,0.7469,0.6193,0.6777,44024.58,29532.27
1495065600000,"2017-05-17",0.826,0.8641,0.6646,0.6646,47196.36,36567.44
1495152000000,"2017-05-18",0.7588,0.9244,0.75,0.826,55390.06,46775.61
1495238400000,"2017-05-19",0.8024,0.8454,0.7471,0.7588,49205.51,39716
1495324800000,"2017-05-20",0.7877,0.8787,0.7632,0.8024,37078.68,30174.52
1495411200000,"2017-05-21",0.7942,1,0.655,0.7877,68595.58,56610.66
1495497600000,"2017-05-22",0.92,0.9935,0.79,0.7942,38748.09,33682.4
1495584000000,"2017-05-23",1.14,1.19,0.8483,0.92,62673.3,59535.29
1495670400000,"2017-05-24",0.9491,1.17,0.85,1.14,43365.58,44565.08
1495756800000,"2017-05-25",0.8621,1.07,0.853,0.9491,33338.25,32868.34
1495843200000,"2017-05-26",0.9131,0.9732,0.6544,0.8621,43886.52,37157.31
1495929600000,"2017-05-27",0.9105,1,0.8508,0.9131,41116.96,38450.52
1496016000000,"2017-05-28",0.9034,0.993,0.8901,0.9105,34237.73,31939.21
1496102400000,"2017-05-29",0.8597,0.9418,0.8526,0.9034,43579.96,39612.81
1496188800000,"2017-05-30",0.832,0.8638,0.7191,0.8597,42741.52,33521.94
1496275200000,"2017-05-31",0.8456,0.8746,0.406,0.832,46082.32,37061.56
1496361600000,"2017-06-01",0.8248,0.8495,0.7828,0.8456,39626.23,31987.98
1496448000000,"2017-06-02",1.04,1.05,0.7505,0.8248,39494.37,34051.93
1496534400000,"2017-06-03",1.14,1.19,1.03,1.04,36376.09,39844.96
1496620800000,"2017-06-04",1.12,1.17,1.06,1.14,35789.5,40021.03
1496707200000,"2017-06-05",1.21,1.26,1.11,1.12,37554.32,44885.8
1496793600000,"2017-06-06",1.02,1.25,0.9914,1.21,36041.25,41114.06
1496880000000,"2017-06-07",0.932,1.05,0.6706,1.02,47669.9,45325.73
1496966400000,"2017-06-08",0.8932,0.9565,0.8867,0.932,36033.26,33274
1497052800000,"2017-06-09",0.8352,0.8983,0.827,0.8932,47894.95,41630.13
1497139200000,"2017-06-10",0.9221,0.9301,0.8308,0.8352,58608.61,50356.91
1497225600000,"2017-06-11",1.06,1.14,0.897,0.9221,52253.68,52476.59
1497312000000,"2017-06-12",0.9961,1.1,0.9063,1.06,41056.5,40033.1
1497398400000,"2017-06-13",0.8273,1.04,0.818,0.9961,47894.66,45324.2
1497484800000,"2017-06-14",0.8564,0.8769,0.7317,0.8273,44861.61,36112.68
1497571200000,"2017-06-15",0.873,0.9248,0.8337,0.8564,39842.37,34945.43
1497657600000,"2017-06-16",0.9735,1.01,0.8689,0.873,33967.86,32021.76
1497744000000,"2017-06-17",0.9444,0.9861,0.9002,0.9735,40190.23,37452.26
1497830400000,"2017-06-18",1.05,1.1,0.9262,0.9444,38542.39,38033.98
1497916800000,"2017-06-19",1.07,1.09,1,1.05,43863.18,46206.41
1498003200000,"2017-06-20",1.03,1.1,0.9792,1.07,50362.76,52699.24
1498089600000,"2017-06-21",1.24,1.35,1.03,1.03,45376.77,52272.06
1498176000000,"2017-06-22",1.24,1.26,1.16,1.24,44880.56,53851.35
1498262400000,"2017-06-23",1.05,1.25,1.01,1.24,36580.68,42662.55
1498348800000,"2017-06-24",0.9146,1.1,0.8822,1.05,37419.27,38089.95
1498435200000,"2017-06-25",0.8563,0.9657,0.7208,0.9146,48592.37,41713
1498521600000,"2017-06-26",0.9083,0.9083,0.7464,0.8563,46686.76,38517.83
1498608000000,"2017-06-27",0.9949,0.9968,0.8874,0.9083,38617.89,35369.16
1498694400000,"2017-06-28",0.9656,1,0.9391,0.9949,39819.62,38994.05
1498780800000,"2017-06-29",1.04,1.1,0.9619,0.9656,45509.69,46847.87
1498867200000,"2017-06-30",0.954,1.05,0.9399,1.04,32493.84,32612.07
1498953600000,"2017-07-01",1.02,1.03,0.9309,0.954,34956.38,33594.17
1499040000000,"2017-07-02",0.972,1.02,0.9433,1.02,32112.14,31538.2
1499126400000,"2017-07-03",0.9746,1,0.9377,0.972,32233.22,31421.87
1499212800000,"2017-07-04",0.9294,0.9827,0.8825,0.9746,33024.19,30555.59
1499299200000,"2017-07-05",0.8405,0.9365,0.711,0.9294,29323.74,25158.41
1499385600000,"2017-07-06",0.7152,0.8405,0.6913,0.8405,43506.17,31277.63
1499472000000,"2017-07-07",0.7089,0.72,0.6804,0.7152,41831.34,29370.98
1499558400000,"2017-07-08",0.7116,0.7226,0.7018,0.7089,52917.43,37739.92
1499644800000,"2017-07-09",0.5635,0.7141,0.5459,0.7116,51492.26,32875.97
1499731200000,"2017-07-10",0.5758,0.6067,0.4605,0.5635,55509.06,30402.91
1499817600000,"2017-07-11",0.5978,0.6196,0.5346,0.5758,42932.07,24265.78
1499904000000,"2017-07-12",0.5992,0.6594,0.5801,0.5978,56902.66,34800.43
1499990400000,"2017-07-13",0.5392,0.6032,0.5264,0.5992,57881.2,32862.53
1500076800000,"2017-07-14",0.5441,0.578,0.4873,0.5392,48269.44,25564.12
1500163200000,"2017-07-15",0.4784,0.5447,0.4268,0.5441,48247.3,23163.47
1500249600000,"2017-07-16",0.587,0.5882,0.4765,0.4784,52984.04,27860.08
1500336000000,"2017-07-17",0.6953,0.7622,0.575,0.587,52893.38,33572.06
1500422400000,"2017-07-18",0.6696,0.7728,0.6559,0.6953,47584.07,33724.7
1500508800000,"2017-07-19",0.7662,0.8156,0.6696,0.6696,45493.93,33900.79
1500595200000,"2017-07-20",0.711,0.7664,0.6949,0.7662,47734.14,34706.86
1500681600000,"2017-07-21",0.7768,0.7824,0.7051,0.711,53495.07,39449.41
1500768000000,"2017-07-22",0.7444,0.78,0.7323,0.7768,54929.42,41630.91
1500854400000,"2017-07-23",0.7848,0.7878,0.7381,0.7444,50183.19,38403.25
1500940800000,"2017-07-24",0.6829,0.7923,0.6657,0.7848,45665.94,33479.25
1501027200000,"2017-07-25",0.6669,0.7046,0.6638,0.6829,48776.37,33414.11
1501113600000,"2017-07-26",0.6789,0.6841,0.6384,0.6669,50710.9,33319.05
1501200000000,"2017-07-27",0.623,0.7336,0.571,0.6789,62576.58,39400.93
1501286400000,"2017-07-28",0.5658,0.6258,0.5452,0.623,52909.95,30684.55
1501372800000,"2017-07-29",0.5815,0.6002,0.5658,0.5658,54655.4,31642.08
1501459200000,"2017-07-30",0.5945,0.6044,0.5794,0.5815,51783.05,30845.22
1501545600000,"2017-07-31",0.6087,0.6499,0.5,0.5945,57599.18,35291.15
1501632000000,"2017-08-01",0.5981,0.6142,0.5916,0.6087,56781.63,34255.13
1501718400000,"2017-08-02",0.6432,0.6445,0.5942,0.5981,56341.77,34189.35
1501804800000,"2017-08-03",0.6975,0.7122,0.6413,0.6432,50198.43,33793.93
1501891200000,"2017-08-04",0.7656,0.7964,0.6975,0.6975,46866.6,35284.36
1501977600000,"2017-08-05",0.8985,0.9333,0.7641,0.7656,49159.99,40809.06
1502064000000,"2017-08-06",1,1,0.8763,0.8985,44074.17,39976.02
1502150400000,"2017-08-07",0.9626,1,0.9361,1,37375.83,36412.91
1502236800000,"2017-08-08",1.02,1.08,0.9585,0.9626,46605.81,47780.35
1502323200000,"2017-08-09",0.9969,1.08,0.9876,1.02,41504.2,43255.91
1502409600000,"2017-08-10",1.43,1.43,0.9165,0.9969,48652.23,50896.57
1502496000000,"2017-08-11",1.67,1.77,1.27,1.43,52193.14,78611.3
1502582400000,"2017-08-12",1.38,1.71,1.24,1.67,42293.76,60904.04
1502668800000,"2017-08-13",1.28,1.38,1.25,1.38,38161.34,50506.11
1502755200000,"2017-08-14",1.1,1.3,0.9995,1.28,49178.6,54472.44
1502841600000,"2017-08-15",1.56,1.58,1.05,1.1,48324.2,57964.16
1502928000000,"2017-08-16",2.34,2.6,1.55,1.56,52065.65,105770.62
1503014400000,"2017-08-17",1.56,2.35,1.51,2.34,32087.05,61956.97
1503100800000,"2017-08-18",1.79,1.79,1.42,1.56,37342.48,59413.44
1503187200000,"2017-08-19",1.82,2.03,1.7,1.79,28771.11,52897.87
1503273600000,"2017-08-20",1.56,1.84,1.54,1.82,29334.28,48651.79
1503360000000,"2017-08-21",1.58,1.64,1.4,1.56,27183.18,41154.35
1503446400000,"2017-08-22",1.53,1.62,1.5,1.58,30387.08,47267.32
1503532800000,"2017-08-23",1.59,1.65,1.51,1.53,28091.1,43981.84
1503619200000,"2017-08-24",1.54,1.67,1.53,1.59,21044.4,33963.38
1503705600000,"2017-08-25",1.55,1.58,1.53,1.54,2996.6,4623.03
1503792000000,"2017-08-26",1.77,2.25,1.31,1.55,29115.54,50720.77
1503878400000,"2017-08-27",2.32,2.46,1.76,1.77,26662.19,55321.56
1503964800000,"2017-08-28",2.85,3.54,2.3,2.32,32357.21,90335.39
1504051200000,"2017-08-29",2.44,2.9,2.37,2.85,30240.68,80208.93
1504137600000,"2017-08-30",2.13,2.47,1.99,2.44,29019.16,67613.56
1504224000000,"2017-08-31",1.9,2.31,1.79,2.13,30959.68,63338.04
1504310400000,"2017-09-01",1.82,1.94,1.73,1.9,31191.71,57060.02
1504396800000,"2017-09-02",1.7,1.98,1.4,1.82,30474.96,52737.29
1504483200000,"2017-09-03",1.33,1.72,1.17,1.7,29075.91,41665.52
1504569600000,"2017-09-04",1.72,1.72,1.18,1.33,23414.64,32863.24
1504656000000,"2017-09-05",1.71,1.73,1.6,1.72,24957.09,41694.57
1504742400000,"2017-09-06",1.73,1.74,1.59,1.71,17662.43,29217.57
1504828800000,"2017-09-07",1.52,1.88,1.46,1.73,23109.37,38383.86
1504915200000,"2017-09-08",1.47,1.55,1.46,1.52,17597.36,26427.24
1505001600000,"2017-09-09",1.37,1.49,1.28,1.47,18265.73,25023.24
1505088000000,"2017-09-10",1.37,1.45,1.33,1.37,20776.37,28427.48
1505174400000,"2017-09-11",1.32,1.43,1.31,1.37,19733.76,27152.18
1505260800000,"2017-09-12",1.34,1.42,1.18,1.32,22725.32,29091.29
1505347200000,"2017-09-13",1.1,1.43,1.1,1.34,20697.95,25353.75
1505433600000,"2017-09-14",1.33,1.35,0.9514,1.1,33700.2,40211.77
1505520000000,"2017-09-15",1.31,1.37,1.23,1.33,22364.52,29065.49
1505606400000,"2017-09-16",1.41,1.45,1.25,1.31,22173.54,29757.61
1505692800000,"2017-09-17",1.7,1.7,1.41,1.41,23426.13,36157.48
1505779200000,"2017-09-18",1.47,1.74,1.45,1.7,18361.39,28391.02
1505865600000,"2017-09-19",1.45,1.52,1.43,1.47,21092.57,30908.57
1505952000000,"2017-09-20",1.24,1.45,1.21,1.45,20677.21,27930.43
1506038400000,"2017-09-21",1.33,1.41,1.24,1.24,20126.75,26203.92
1506124800000,"2017-09-22",1.35,1.39,1.3,1.33,17117.94,22937.02
1506211200000,"2017-09-23",1.36,1.43,1.29,1.35,17223.35,23442.6
1506297600000,"2017-09-24",1.56,1.57,1.35,1.36,15535.64,22600.89
1506384000000,"2017-09-25",1.75,1.75,1.52,1.56,17136.87,28218.8
1506470400000,"2017-09-26",1.83,1.84,1.73,1.75,15545.02,27658.92
1506556800000,"2017-09-27",1.68,1.83,1.67,1.83,15074.78,26283.13
1506643200000,"2017-09-28",1.74,1.75,1.48,1.68,18035.55,29516.79
1506729600000,"2017-09-29",1.83,1.87,1.72,1.74,15711.82,28587.75
1506816000000,"2017-09-30",1.99,2.17,1.83,1.83,17221.7,34966.61
1506902400000,"2017-10-01",1.82,2.19,1.82,1.99,17607.48,35510.67
1506988800000,"2017-10-02",1.71,1.85,1.63,1.82,20438.61,35262.15
1507075200000,"2017-10-03",1.61,1.75,1.6,1.71,15260.22,25095.4
1507161600000,"2017-10-04",1.54,1.62,1.5,1.61,19501.61,30312.89
1507248000000,"2017-10-05",1.53,1.59,1.52,1.54,18279.26,28477.78
1507334400000,"2017-10-06",1.42,1.54,1.41,1.53,16959.43,24447.59
1507420800000,"2017-10-07",1.36,1.45,1.36,1.42,20320.39,28394.11
1507507200000,"2017-10-08",1.29,1.57,1.29,1.36,22837.98,31429.54
1507593600000,"2017-10-09",1.35,1.41,1.29,1.29,18154,24481.34
1507680000000,"2017-10-10",1.41,1.45,1.35,1.35,19708.5,27495.1
1507766400000,"2017-10-11",1.27,1.42,1.26,1.41,19637.38,26081.25
1507852800000,"2017-10-12",1.22,1.32,1.15,1.27,15468.8,19002.12
1507939200000,"2017-10-13",1.17,1.22,1.15,1.22,9752.25,11650.63
1508025600000,"2017-10-14",1.17,1.18,1.05,1.17,14082.19,16002.53
1508112000000,"2017-10-15",1.18,1.22,1.11,1.17,29437.24,34537.58
1508198400000,"2017-10-16",1.19,1.24,1.15,1.18,29638.67,34938.89
1508284800000,"2017-10-17",1.11,1.19,1.07,1.19,18473.08,20785.94
1508371200000,"2017-10-18",1.14,1.18,1.11,1.11,28533.25,32793.98
1508457600000,"2017-10-19",1.21,1.23,1.14,1.14,25344.66,30006.78
1508544000000,"2017-10-20",1.28,1.39,1.18,1.21,23890.57,29371.9
1508630400000,"2017-10-21",1.24,1.29,1.22,1.28,23898.43,29719.83
1508716800000,"2017-10-22",1.23,1.44,0.8741,1.24,24272.48,30655.34
1508803200000,"2017-10-23",1.23,1.35,1.22,1.23,23850.54,30617.85
1508889600000,"2017-10-24",1.28,1.32,1.17,1.23,27119.13,33716.86
1508976000000,"2017-10-25",1.23,1.29,1.17,1.28,21496.29,26525.75
1509062400000,"2017-10-26",1.19,1.23,1.15,1.23,24326.14,28969.05
1509148800000,"2017-10-27",1.16,1.19,1.15,1.19,21314.85,24958.87
1509235200000,"2017-10-28",1.19,1.19,0.77,1.16,26281.83,30673.51
1509321600000,"2017-10-29",1.13,1.2,1.07,1.19,25054.16,28028.62
1509408000000,"2017-10-30",0.9729,1.13,0.9641,1.13,24299.19,25829.99
1509494400000,"2017-10-31",0.9326,0.9971,0.856,0.9729,29649.55,27353.69
1509580800000,"2017-11-01",0.9303,0.9876,0.882,0.9326,11751.58,10786.26
1509667200000,"2017-11-02",1.03,1.06,1.01,1.04,16511.27,17052.33
1509753600000,"2017-11-03",1.05,1.06,0.9873,1.03,25966.13,26631.4
1509840000000,"2017-11-04",1.14,1.21,1.02,1.05,31324.84,33300.63
1509926400000,"2017-11-05",1.06,1.16,1.06,1.14,28257.09,31156.1
1510012800000,"2017-11-06",1.04,1.14,1.04,1.06,15487.09,16716.29
1510099200000,"2017-11-07",1.06,1.06,1.04,1.04,744.53,781.3
1510185600000,"2017-11-08",1.48,1.58,1.29,1.32,19046.98,27563.72
1510272000000,"2017-11-09",1.33,1.49,1.24,1.48,10749.81,14509.8
1510358400000,"2017-11-10",1.26,1.46,1.24,1.33,10216.04,13767.3
1510444800000,"2017-11-11",1.22,1.28,1.15,1.26,8917.36,10955.92
1510531200000,"2017-11-12",1.24,1.28,1.22,1.22,5351.17,6684.8
1510617600000,"2017-11-13",1.26,1.26,1.18,1.24,10391.84,12743.03
1510704000000,"2017-11-14",1.44,1.46,1.26,1.26,14233.41,19582.13
1510790400000,"2017-11-15",1.35,1.44,1.29,1.44,19856.86,27221.22
1510876800000,"2017-11-16",1.23,1.38,1.22,1.35,20645.42,26611.9
1510963200000,"2017-11-17",1.26,1.28,1.15,1.23,21264.82,25777.22
1511049600000,"2017-11-18",1.25,1.32,1.24,1.26,20984.55,26536.92
1511136000000,"2017-11-19",1.22,1.25,1.2,1.25,18894.86,23145.66
1511222400000,"2017-11-20",1.2,1.52,1.17,1.22,28201.08,35134.55
1511308800000,"2017-11-21",1.25,1.26,1.2,1.2,18411.17,22759.53
1511395200000,"2017-11-22",1.27,1.29,1.23,1.25,16372.33,20477.11
1511481600000,"2017-11-23",1.29,1.33,1.22,1.27,18036.25,23005.67
1511568000000,"2017-11-24",1.33,1.33,1.25,1.29,16792.48,21541.55
1511654400000,"2017-11-25",1.44,1.45,1.31,1.33,12273.12,16899.39
1511740800000,"2017-11-26",1.57,1.64,1.44,1.44,20570.77,31900.1
1511827200000,"2017-11-27",1.47,1.58,1.43,1.57,18452.17,27869.23
1511913600000,"2017-11-28",1.33,1.53,1.31,1.47,18637.51,26815.22
1512000000000,"2017-11-29",1.38,1.42,1.22,1.33,16544.6,22190.17
1512086400000,"2017-11-30",1.47,1.47,1.31,1.38,14785.29,20568.43
1512172800000,"2017-12-01",1.11,1.51,0.8487,1.47,44911.79,45454.95
1512259200000,"2017-12-02",0.9344,1.12,0.9303,1.11,23855.28,24770.84
1512345600000,"2017-12-03",0.9451,1.03,0.902,0.9344,24868.05,23824.43
1512432000000,"2017-12-04",1.07,1.08,0.9389,0.9451,23264.51,23732.32
1512518400000,"2017-12-05",1.02,1.07,1.01,1.07,16168.59,16634.21
